cnty,fct,fct_date,fct_mape,horizon,iter,method,step_ahead,train_mape,train_mse,true
51036,4.000000005911079,2020-05-24,300.0000005911079,2020-05-17,0,spatial,1-step_ahead,5.267032171518693e-07,2.285525850245581e-16,1.0
51036,3.9999999977890894,2020-05-31,299.99999977890894,2020-05-17,0,spatial,2-step_ahead,2.647138696074268e-07,7.256013123732189e-17,1.0
51036,4.00000000000001,2020-06-07,300.00000000000097,2020-05-17,0,spatial,3-step_ahead,1.0355473092783456e-13,1.7847977980625392e-29,1.0
51036,4.063810692592712,2020-06-14,41.94556153438981,2020-05-17,0,spatial,4-step_ahead,7.872695403617308,0.08563239326631049,6.999999999999999
51115,1.0,2020-06-07,0.0,2020-05-31,0,spatial,1-step_ahead,0.0,0.0,1.0
51115,1.0,2020-06-14,0.0,2020-05-31,0,spatial,2-step_ahead,0.0,0.0,1.0
51115,1.0,2020-06-21,0.0,2020-05-31,0,spatial,3-step_ahead,0.0,0.0,1.0
51115,1.0,2020-06-28,,2020-05-31,0,spatial,4-step_ahead,0.0,0.0,
51041,334.9999999999901,2020-06-07,4.829545454548233,2020-05-31,0,spatial,1-step_ahead,3.176666958099781e-12,4.3231016488402564e-23,351.99999999999983
51041,334.99999999999517,2020-06-14,14.102564102565355,2020-05-31,0,spatial,2-step_ahead,1.0985715164327524e-12,9.231060986279027e-24,390.00000000000006
51041,335.0000000271213,2020-06-21,99.40476192090557,2020-05-31,0,spatial,3-step_ahead,1.1013434542205147e-08,5.395291719185078e-16,167.99999999999997
51041,334.99999994648624,2020-06-28,,2020-05-31,0,spatial,4-step_ahead,1.4840610989389945e-07,1.20985572101517e-13,
51001,127.98584308596331,2020-06-07,611.0324615886852,2020-05-31,0,ar,1-step_ahead,86.58676174084715,3895.444656442965,17.999999999999996
51001,127.98584308596331,2020-06-14,276.42895025283315,2020-05-31,0,ar,2-step_ahead,86.58676174084715,3895.444656442965,34.00000000000001
51001,127.98584308596331,2020-06-21,1322.0649231773698,2020-05-31,0,ar,3-step_ahead,86.58676174084715,3895.444656442965,9.000000000000002
51001,127.98584308596331,2020-06-28,,2020-05-31,0,ar,4-step_ahead,86.58676174084715,3895.444656442965,
51051,1.0,2020-06-07,0.0,2020-05-31,0,spatial,1-step_ahead,0.0,0.0,1.0
51051,1.0,2020-06-14,0.0,2020-05-31,0,spatial,2-step_ahead,0.0,0.0,1.0
51051,1.0,2020-06-21,0.0,2020-05-31,0,spatial,3-step_ahead,0.0,0.0,1.0
51051,1.0,2020-06-28,,2020-05-31,0,spatial,4-step_ahead,0.0,0.0,
51187,65.9999999999995,2020-06-07,999.9999999999916,2020-05-31,0,spatial_mob,1-step_ahead,9.003985860246035e-13,5.822030138802632e-26,6.0
51187,65.99999999944566,2020-06-14,999.999999990761,2020-05-31,0,spatial_mob,2-step_ahead,1.4171721093537223e-08,1.0675735247914119e-17,6.0
