FIPS,2020-01-19,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19
51001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0794415416798357,1.6094379124341003,2.8903717578961645,4.727387818712341,5.332718793265369,4.962844630259907,5.147494476813453,3.9889840465642745,4.948759890378168,4.672828834461906,2.9444389791664403,3.5553480614894135,2.70805020110221,1.3862943611198906,0.0,1.9459101490553132,0.0
51003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.70805020110221,2.3978952727983707,2.9444389791664403,2.302585092994046,2.833213344056216,3.4657359027997265,2.6390573296152584,2.833213344056216,1.9459101490553132,3.784189633918261,3.5263605246161616,3.9889840465642745,3.828641396489095,4.110873864173311,4.30406509320417,4.343805421853684,4.31748811353631,2.0794415416798357
51005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,1.9459101490553132,1.9459101490553132,1.791759469228055,0.6931471805599453,0.6931471805599453,0.0,1.3862943611198906,1.6094379124341003,2.6390573296152584,0.0
51007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,1.0986122886681098,1.3862943611198906,0.6931471805599453,0.0,0.6931471805599453,0.0,1.3862943611198906,1.0986122886681098,1.791759469228055,1.9459101490553132,1.0986122886681098,0.0,1.0986122886681098,1.3862943611198906,2.302585092994046,0.0
51009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,1.3862943611198906,0.0,0.0,1.0986122886681098,0.6931471805599453,2.1972245773362196,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,1.791759469228055,0.6931471805599453,1.0986122886681098,2.1972245773362196,1.0986122886681098
51011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9459101490553132,0.0,1.6094379124341003,2.1972245773362196,0.0,0.0,1.0986122886681098,1.6094379124341003,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,1.6094379124341003,1.3862943611198906,0.6931471805599453,0.0
51013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9459101490553132,2.70805020110221,3.970291913552122,4.31748811353631,5.293304824724492,5.14166355650266,5.497168225293202,5.634789603169249,5.662960480135946,5.429345628954441,5.497168225293202,5.713732805509369,4.477336814478207,4.836281906951478,4.430816798843313,3.8918202981106265,4.174387269895637,4.356708826689592,4.859812404361672,1.9459101490553132
51015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9459101490553132,2.302585092994046,1.6094379124341003,2.6390573296152584,2.1972245773362196,2.9444389791664403,2.8903717578961645,1.9459101490553132,2.995732273553991,2.772588722239781,2.8903717578961645,3.1780538303479458,2.4849066497880004,2.5649493574615367,2.5649493574615367,2.995732273553991,0.0
51017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,2.3978952727983707,0.6931471805599453,1.9459101490553132,2.302585092994046,1.3862943611198906,0.6931471805599453,0.0,2.302585092994046,3.2188758248682006,2.70805020110221,1.9459101490553132,2.1972245773362196,3.4011973816621555,2.9444389791664403,3.091042453358316,1.0986122886681098
