Province_State,2020-01-19,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11
01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.70805020110221,4.897839799950911,6.480044561926653,6.8308742346461795,7.389563953677635,7.273786317844895,7.303843225277705,7.262628600974241,7.61085279039525,7.653494909661253,7.824046010856292,8.119993827725105,7.888334500738654,8.518991573357617,8.3707791729607,8.594154232552366,9.003685138166775,9.168058979719577,9.50144159247362,9.393245092030718,9.401869409521051,9.164819856674374,8.863898604317479,8.972463821059907,9.142703723260372,8.818630229100354,8.740656691541368,8.765926513729443,8.907476977528738,8.88405606174246,8.78216942633238,8.914491710191342,9.366831168735615,9.188299241099303,9.20079495913265,9.41938499891089,9.606764735432199,9.566965314664873,10.025528178445153,10.136660639487516,10.205922760324748,10.067050936401493,10.165851817003619,10.298632928237437,9.977249036098181,9.83953552604361,9.68905594182394,9.663261421240643,9.053101595549691,8.720950028930258,8.80941494391005,8.814033201652784,8.267192185932146,8.9595686535445,8.001355025826703,7.841099765422119,7.587310506022615,8.172729104865471
02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.70805020110221,4.330733340286331,4.382026634673881,4.48863636973214,4.060443010546419,3.2188758248682006,3.258096538021482,2.70805020110221,2.8903717578961645,2.995732273553991,3.4657359027997265,4.875197323201151,4.976733742420574,4.8283137373023015,5.209486152841421,5.739792912179234,5.808142489980444,6.206575926724928,6.597145701886651,6.862757913051401,6.313548046277095,6.371611847231857,6.304448802421981,6.278521424165844,6.206575926724928,6.304448802421981,6.317164686747284,6.558197802812269,6.782192056006791,7.07326971745971,7.226936018493289,7.454719949364001,7.941651252930556,7.989899374942939,8.254788926148725,8.313852267398207,8.348774539791274,8.482394685873542,8.349011198176003,8.068089626278244,7.486613313139955,7.751045117971802,7.67693714581808,7.4377951216719325,7.311218384419629,6.949856455000773,6.949856455000773,7.046647277848756,6.903747257584598,6.790097235513905,6.946013991099227,6.837332814685591,6.80128303447162,7.001245622069476,7.121252453244542,7.155396301896734,7.037905963447182
04,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,2.0794415416798357,4.5217885770490405,6.505784060128229,7.1276936993473985,7.2254814727822945,7.193685818395112,7.3537223303996315,7.639161171659173,7.86172707782398,7.903226808730733,7.77779262633883,8.07246736935477,8.731174900938061,9.127936545721367,9.64646400103814,9.903337541285003,10.10409915534325,10.141046698084647,9.9681041956221,9.84033473753086,9.738671869871839,9.116578992161708,8.786762208441091,8.564267598802166,8.129174996911793,8.349957272040324,7.8674885686991285,8.59840444684106,8.094073148069352,8.181160858023409,8.429235912657095,8.609042845046117,8.750366278367625,9.124128675157117,9.344696424475261,9.659439517104408,10.011489576337405,10.219757081839822,10.494768106692502,10.68485163315069,10.728583624225356,10.710186607780189,10.738763437696006,11.130126527360975,10.994672325375442,10.788411448660783,10.545920218551572,10.154790869644193,9.694616660508636,9.290998274993637,9.163667963777751,9.149740749847252,8.850087606689566,8.208219383496834,8.18004072349016,8.412721169819527,8.553139318189707,8.301273485191347
05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4849066497880004,4.700480365792417,5.659482215759621,5.811140992976701,6.184148890937483,6.246106765481563,7.062191632286556,6.133398042996649,5.926926025970411,6.7226297948554485,7.087573705557973,7.121252453244542,7.643961949002529,8.004365564979574,8.021912778985708,8.335191583433202,8.268475388982598,8.445697189711167,8.448700194970938,8.60300384782935,8.554874258383926,8.637284671674058,8.183397369998433,8.244596756382498,8.337827262447915,8.369157112588834,8.521185212685776,8.60337088765729,8.629628620746026,8.660427359502146,8.647343875881283,8.732627099660395,8.83869681234353,8.835210463664092,9.063926353520646,9.33591519488425,9.363490551469857,9.324115386235027,9.571923252267498,9.6071010394542,9.671681590643265,9.536401457297078,9.768412111339039,9.918573189954168,9.821843563495618,9.458527693729824,9.340666633651757,9.365376374075716,8.779249716229046,7.889084407035514,8.285261134068948,8.604837701268284,7.67786350067821,7.458186157340487,7.180069874302796,7.01211529430638,6.9874902470009905,7.21081845347222
06,0.0,1.0986122886681098,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.23410650459726,5.673323267171493,6.946975992135418,8.21554741194707,8.952734767106872,9.091669442258505,9.114379980830272,9.389824573949976,9.311271090554623,9.50688307286016,9.40804303080844,9.542015406113592,9.771840098470129,9.842197084093021,10.005728206482676,10.202665790126336,10.567308903714245,10.696231168314535,11.072713620532229,11.037322186913999,11.07257383750632,11.006208057582091,10.775993572039262,11.02671114967651,10.723553686653267,10.504163021027956,10.41394310783523,10.056466117133208,10.119727327533543,10.1107862342885,10.01202800682558,10.048496574446103,9.983776383764932,10.314868461073596,10.264234195844914,10.550852540440946,10.924120281554181,11.351441294042747,11.483918810267173,11.877568578558138,12.298907035822593,12.59188591497298,12.523700581228052,12.5083674303498,12.575001700225695,12.53776921105137,12.127456836019745,11.870047309034222,11.485472044855516,11.18424082614052,10.760240571694087,10.512056756620776,10.394090060613085,10.091211158619078,9.885018036252466,9.808627271512169,9.76818316050523,9.942564024517921,9.88323382350886
08,0.0,0.0,0.0,0.0,0.0,0.0,2.0794415416798357,4.553876891600541,5.918893854273146,7.368970402194793,7.825644732219989,7.752764808851328,7.842671474979457,8.168486417126681,8.088561805276234,8.055157731819678,7.722234744709607,7.754052639035757,7.665753431861699,7.4673710669175595,7.063903961472068,7.193685818395112,7.422971251049421,7.519692404116539,7.9102237070973445,8.069968149059841,8.294299608857235,8.154212694914229,8.025189321890835,7.829630389150193,7.623153068476902,7.676473646389156,7.57353126274595,7.554858521040676,8.14902386805177,8.331827004436057,8.305236829492593,8.534443544822764,8.813884558025606,9.108418382250798,9.543234787249512,9.933871257170567,10.350318507250188,10.475737478289117,10.328885998351742,10.375489184444536,10.250157614133787,9.950561959922057,9.742203154807973,9.65200882504456,9.892173792635855,9.584383610076006,9.34862295977619,9.215626376405421,9.13097243659261,9.074176947163311,8.82893352896109,8.942460926820582,9.02401079378469,8.852378886511985,8.864322722511439,8.95789673495042,9.1381996941985,9.263122557415151,9.357466436866476
09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1354942159291497,5.14166355650266,7.1929342212158,8.230044310126114,8.737773460327283,8.706159290928861,8.858368636308018,8.456168489578463,8.215276958936633,8.22121009392507,8.107418811719974,7.600902459542082,7.493317248862145,7.069874128458572,6.580639137284949,6.19644412779452,6.236369590203704,6.345636360828596,6.406879986069314,6.78332520060396,6.9411900550683745,6.234410725718371,6.3578422665081,6.432940092739179,6.883462586413092,6.76849321164863,6.8679744089702925,7.0909098220799835,6.966024187106113,7.444248649496705,7.462214939768189,7.934513463882263,8.07775756373692,8.54772239645106,8.841881989497114,9.261033486291701,9.459073694289389,9.31578088443418,9.624699147254466,9.854612384753992,9.681655640646714,9.206432747145165,9.762902771722255,9.672437829650821,9.765833387237333,9.57449725626267,9.409846753524238,9.143024664691316,8.98281222234415,8.659386957119413,8.83127373772255,8.591186871324563,8.565411763686711,8.71833650245078,9.05005424204284,9.076351731972865,8.939843124278502,8.919453168575453
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.791759469228055,3.6635616461296463,5.1298987149230735,5.937536205082426,6.786716950605081,6.9650803456014065,6.945051063725834,7.2875606403097235,7.122059881629142,7.146772179452637,6.889591308354466,6.794586580876499,6.0473721790462776,5.950642552587727,6.113682179832232,6.016157159698354,6.807934943699926,6.616065185132817,6.530877627725885,6.650279048587422,6.51471269087253,6.437751649736401,6.795705775173514,6.068425588244111,6.255750041753367,6.297109319933935,6.726233402358747,6.583409222158765,6.561030665896573,6.876264611890766,6.771935555839602,6.8501261661455,6.807934943699926,7.00669522683704,7.175489713624222,7.667158255319148,7.98139158158007,8.116417072794205,8.395251520610994,8.662158961666423,8.567886305731756,8.374938143835367,8.389359819906353,8.630878955820053,8.496378051702317,8.421342865759403,8.19863945529737,7.732369222284388,7.951559331155252,7.527793987721444,7.593877844605118,7.3914152346753585,7.6093665379542115,7.487733761436444,7.472500744737558,7.773173680482536,7.661997558901893,7.853216388156072
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.584967478670572,5.327876168789581,6.393590753950631,6.775366090936392,6.78897174299217,6.940222469119639,7.001245622069476,7.173958319756794,6.84587987526405,6.828712071641684,6.621405651764134,6.313548046277095,6.0867747269123065,5.616771097666572,5.44673737166631,5.442417710521793,5.869296913133774,5.973809611869261,6.259581464064923,6.1903154058531475,6.104793232414985,6.226536669287466,5.926926025970411,5.968707559985366,5.746203190540153,5.541263545158426,6.013715156042802,5.746203190540153,5.552959584921617,6.09807428216624,6.030685260261263,5.918893854273146,6.327936783729195,6.437751649736401,6.827629234502852,7.044905117129371,7.205635176410364,7.355001921105257,7.479299637782834,7.4377951216719325,7.221105098182496,7.4949862339505335,7.5745584842024805,7.640123172695364,7.3395376954076745,7.368339686311381,7.102499355774649,6.823286122355687,6.6293632534374485,6.829793737512425,6.678342114654332,7.055312843339752,6.610696044717759,6.775366090936392,6.78105762593618,6.721425700790643,6.705639094860003
12,0.0,0.0,0.0,0.0,0.0,0.0,1.9459101490553132,4.23410650459726,6.532334292222349,8.006367567650246,8.958540111412168,8.847503625923641,8.853379672927634,8.584290934948731,8.439015410352214,8.420241665339788,8.478452363099807,8.578476419833136,8.574895901544526,8.900276348631271,9.286745703178589,9.915663128466262,10.564834420546276,10.95966195850627,11.07378464175235,11.32729443791579,11.250807170249699,11.090064929932883,10.748260800197345,10.670349770918355,10.238530196347746,9.971426535544321,10.121176253167373,9.781545881730885,9.88644311792687,9.76703761939823,9.67464026580524,9.570110520822217,10.067305637765523,10.07617956035424,10.177172115344055,10.449583790384038,10.545841313750174,10.946076077522912,10.886876027942778,11.07195234310307,11.117435439884142,11.241011749286589,11.176375225306858,11.41028347299835,11.606998516210117,11.466766336588648,11.286376120521187,11.207418807605896,10.96422488877531,10.831271978121498,10.639933657491222,10.596009537702155,10.52446718479401,10.380094332915435,10.349870650556843,10.45449496593495,10.544551653225849,10.637800668461894,10.677154250154869
