,fips,fct_date,horizon,avl_date,value,fct_std
0,Albania,2021-03-28,0,2021-03-21,4267.751282690486,2.0902579842203743
1,Andorra,2021-03-28,0,2021-03-21,238.71275172392416,2.025629560685893
2,Austria,2021-03-28,0,2021-03-21,19904.11464291194,2.341616189625053
3,Belarus,2021-03-28,0,2021-03-21,7918.281522850448,2.123916952957946
4,Belgium,2021-03-28,0,2021-03-21,27132.617128843907,2.123927497446437
5,Bosnia and Herzegovina,2021-03-28,0,2021-03-21,8048.7095766389975,2.0151468331178717
6,Bulgaria,2021-03-28,0,2021-03-21,21116.43496206327,2.329729630481824
7,Croatia,2021-03-28,0,2021-03-21,5948.223187151831,1.9818012359450419
8,Cyprus,2021-03-28,0,2021-03-21,2426.86217910744,2.0602703571915026
9,Czechia,2021-03-28,0,2021-03-21,72193.39244597265,2.0269587453866276
10,Denmark,2021-03-28,0,2021-03-21,3980.269664655061,1.786529350266236
11,Estonia,2021-03-28,0,2021-03-21,9342.656020060458,2.3389108661276516
12,Finland,2021-03-28,0,2021-03-21,4554.561698284015,2.2561548942386773
13,France,2021-03-28,0,2021-03-21,203808.37193792034,2.236096513765804
14,Germany,2021-03-28,0,2021-03-21,85434.73270251742,2.1652151241239173
15,Greece,2021-03-28,0,2021-03-21,15955.375532488688,2.2037675321462884
16,Hungary,2021-03-28,0,2021-03-21,50822.80648491322,2.105330349480078
17,Iceland,2021-03-28,0,2021-03-21,23.0161952974031,2.193618612182302
18,Ireland,2021-03-28,0,2021-03-21,3732.888031582086,1.714102962384553
19,Italy,2021-03-28,0,2021-03-21,147071.77375770453,2.1594725646614727
20,Kosovo,2021-03-28,0,2021-03-21,3884.33670691475,1.9343756224929771
21,Latvia,2021-03-28,0,2021-03-21,3700.9285375983454,2.038777130707757
22,Liechtenstein,2021-03-28,0,2021-03-21,20.79059271574306,2.0953429922789417
23,Lithuania,2021-03-28,0,2021-03-21,3995.572359358048,2.150366507492373
24,Luxembourg,2021-03-28,0,2021-03-21,1373.8686248399026,2.005520807970271
25,Malta,2021-03-28,0,2021-03-21,1638.6651592211238,2.1574659652469714
26,Moldova,2021-03-28,0,2021-03-21,10345.533848675987,2.1766015486028523
27,Monaco,2021-03-28,0,2021-03-21,77.87677669993582,2.1625685527354492
28,Montenegro,2021-03-28,0,2021-03-21,3592.073276510928,2.093299197415572
29,Netherlands,2021-03-28,0,2021-03-21,42757.299925823,2.2132792795302163
30,North Macedonia,2021-03-28,0,2021-03-21,5614.3373369879555,2.1450932357781163
31,Norway,2021-03-28,0,2021-03-21,5512.6166259871825,2.1385994954815843
32,Poland,2021-03-28,0,2021-03-21,146891.8545495011,2.076579030047942
33,Portugal,2021-03-28,0,2021-03-21,4156.070983949467,2.1850265279772936
34,Romania,2021-03-28,0,2021-03-21,34682.46234763414,2.186413626993427
35,Russia,2021-03-28,0,2021-03-21,68492.9604856437,2.2340217019999242
36,San Marino,2021-03-28,0,2021-03-21,227.3216918470107,2.2189604114407744
37,Serbia,2021-03-28,0,2021-03-21,32588.206791801727,2.299415335799741
38,Slovakia,2021-03-28,0,2021-03-21,12286.669764566119,2.0481334833466183
39,Slovenia,2021-03-28,0,2021-03-21,5516.891025757272,2.3903534825605575
40,Spain,2021-03-28,0,2021-03-21,28388.659707791638,2.44826378157147
41,Sweden,2021-03-28,0,2021-03-21,30714.553028856404,2.054505822837526
42,Switzerland,2021-03-28,0,2021-03-21,9190.913263656315,2.0699439357881224
43,Ukraine,2021-03-28,0,2021-03-21,73220.81126448815,1.9839669512126672
44,United Kingdom,2021-03-28,0,2021-03-21,38911.249800750986,2.562432860478287
45,Albania,2021-04-04,1,2021-03-21,3924.5787554003036,3.863447954389078
46,Andorra,2021-04-04,1,2021-03-21,261.41699297392006,3.5779908798979903
47,Austria,2021-04-04,1,2021-03-21,20701.572019237676,3.9051318061182116
48,Belarus,2021-04-04,1,2021-03-21,8006.173350626894,3.47414031563255
49,Belgium,2021-04-04,1,2021-03-21,30103.324944299646,3.5938875464158273
50,Bosnia and Herzegovina,2021-04-04,1,2021-03-21,8705.307183002471,3.410131880291528
51,Bulgaria,2021-04-04,1,2021-03-21,22853.203542912786,3.934781378369125
52,Croatia,2021-04-04,1,2021-03-21,6725.347997946723,3.478479820288475
53,Cyprus,2021-04-04,1,2021-03-21,2465.066612204202,3.509234835853544
54,Czechia,2021-04-04,1,2021-03-21,66789.52038021758,3.3126290472621376
55,Denmark,2021-04-04,1,2021-03-21,3659.6387160113372,3.5189058114538065
56,Estonia,2021-04-04,1,2021-03-21,9253.775717333017,3.752100966132948
57,Finland,2021-04-04,1,2021-03-21,4586.6515270814125,3.7994102878337035
58,France,2021-04-04,1,2021-03-21,218665.00502977055,3.9203843324092356
59,Germany,2021-04-04,1,2021-03-21,93509.02725190343,3.59144079182405
60,Greece,2021-04-04,1,2021-03-21,16335.41585381236,3.551568726016457
61,Hungary,2021-04-04,1,2021-03-21,55097.73618911591,3.639255068603374
62,Iceland,2021-04-04,1,2021-03-21,32.40170811443113,3.9390844800360125
63,Ireland,2021-04-04,1,2021-03-21,3783.543422759656,3.206302359366685
64,Italy,2021-04-04,1,2021-03-21,150587.15504510282,3.603500706347096
65,Kosovo,2021-04-04,1,2021-03-21,3917.462067795961,3.309570583237736
66,Latvia,2021-04-04,1,2021-03-21,3638.714298765466,3.620385164309615
67,Liechtenstein,2021-04-04,1,2021-03-21,21.345548878369755,3.7849542009577073
68,Lithuania,2021-04-04,1,2021-03-21,4171.195854827092,3.51555917301249
