,fips,fct_date,horizon,avl_date,value,fct_std
0,Albania,2020-07-19,0,2020-07-12,536.9363824313978,2.2092116165366953
1,Andorra,2020-07-19,0,2020-07-12,5.959716497725935,2.1645364405500835
2,Austria,2020-07-19,0,2020-07-12,561.9169134026088,2.2131506565071577
3,Belarus,2020-07-19,0,2020-07-12,1996.1780558523606,2.1452645231491796
4,Belgium,2020-07-19,0,2020-07-12,770.1711472145544,1.9925647874389083
5,Bosnia and Herzegovina,2020-07-19,0,2020-07-12,1302.2548838317853,2.1663806300127515
6,Bulgaria,2020-07-19,0,2020-07-12,1263.951485743386,2.451116139722071
7,Croatia,2020-07-19,0,2020-07-12,478.3869501959971,1.9670718210416223
8,Cyprus,2020-07-19,0,2020-07-12,11.424019041159,2.2745349980890714
9,Czechia,2020-07-19,0,2020-07-12,815.337147366632,1.9186711657744455
10,Denmark,2020-07-19,0,2020-07-12,189.97778608312365,1.8966878355657828
11,Estonia,2020-07-19,0,2020-07-12,12.363757711745848,1.9506164627459528
12,Finland,2020-07-19,0,2020-07-12,49.468890668087624,1.851500772671612
13,France,2020-07-19,0,2020-07-12,2420.48296262222,2.43663743352172
14,Germany,2020-07-19,0,2020-07-12,2778.1741498585907,2.353080282378649
15,Greece,2020-07-19,0,2020-07-12,193.03756515243003,2.3176036828781887
16,Hungary,2020-07-19,0,2020-07-12,53.67492437177134,2.115136553407068
17,Iceland,2020-07-19,0,2020-07-12,5.304214746008483,2.1393204691553227
18,Ireland,2020-07-19,0,2020-07-12,94.79932943847598,2.2732975215080757
19,Italy,2020-07-19,0,2020-07-12,1405.0198855371273,2.14079845849256
20,Kosovo,2020-07-19,0,2020-07-12,940.7102043058958,1.9072687721423902
21,Latvia,2020-07-19,0,2020-07-12,27.042815946279234,2.1786637351518507
22,Liechtenstein,2020-07-19,0,2020-07-12,1.0829073012994712,2.25859480900037
23,Lithuania,2020-07-19,0,2020-07-12,31.959110690826492,2.297848746898377
24,Luxembourg,2020-07-19,0,2020-07-12,359.8488453158361,2.1852452133580025
25,Malta,2020-07-19,0,2020-07-12,2.863613552109655,2.1479211904167665
26,Moldova,2020-07-19,0,2020-07-12,1795.457722059502,2.1223230885269606
27,Monaco,2020-07-19,0,2020-07-12,2.517177131093547,1.9967580459356176
28,Montenegro,2020-07-19,0,2020-07-12,409.36562264765143,2.034425037175715
29,Netherlands,2020-07-19,0,2020-07-12,508.91992100292555,2.4546765696166855
30,North Macedonia,2020-07-19,0,2020-07-12,1033.9799427956114,2.1093711661013437
31,Norway,2020-07-19,0,2020-07-12,67.25842677611581,2.2504718635205063
32,Poland,2020-07-19,0,2020-07-12,2020.1476944656388,2.061001347290545
33,Portugal,2020-07-19,0,2020-07-12,2434.90867973477,2.1785780152727243
34,Romania,2020-07-19,0,2020-07-12,3063.943260162763,1.9173645410467415
35,Russia,2020-07-19,0,2020-07-12,46700.598768547294,2.0248523622826875
36,San Marino,2020-07-19,0,2020-07-12,0.5947895791882729,2.2557407572060892
37,Serbia,2020-07-19,0,2020-07-12,2030.6115688700193,2.340765493228316
38,Slovakia,2020-07-19,0,2020-07-12,101.48877476344796,2.1545161869525615
39,Slovenia,2020-07-19,0,2020-07-12,117.47824066926523,1.8073409393861988
40,Spain,2020-07-19,0,2020-07-12,3842.1429424511734,2.356084317182099
41,Sweden,2020-07-19,0,2020-07-12,3335.5056227692257,2.342619957984629
