,fips,fct_date,horizon,avl_date,value,fct_std
0,Albania,2020-08-09,0,2020-08-02,737.1770363644036,2.26739224834186
1,Andorra,2020-08-09,0,2020-08-02,24.923879612420137,2.115541511753731
2,Austria,2020-08-09,0,2020-08-02,763.6952590825931,2.2196917456738943
3,Belarus,2020-08-09,0,2020-08-02,974.1101860098861,2.1262914865348295
4,Belgium,2020-08-09,0,2020-08-02,3173.8858382861363,2.084150164771149
5,Bosnia and Herzegovina,2020-08-09,0,2020-08-02,1798.5064858118349,2.0539998322640747
6,Bulgaria,2020-08-09,0,2020-08-02,1526.598952587079,2.1234745637563033
7,Croatia,2020-08-09,0,2020-08-02,433.4870882653504,2.232616603774438
8,Cyprus,2020-08-09,0,2020-08-02,60.193159499046715,2.112183792527793
9,Czechia,2020-08-09,0,2020-08-02,1368.092489430499,2.194026548781405
10,Denmark,2020-08-09,0,2020-08-02,364.6726510409353,1.886790678049723
11,Estonia,2020-08-09,0,2020-08-02,37.97001719485115,2.0508729357154833
12,Finland,2020-08-09,0,2020-08-02,73.9927206314469,1.9498730887016786
13,France,2020-08-09,0,2020-08-02,6047.647900660348,2.467635980913439
14,Germany,2020-08-09,0,2020-08-02,4638.385154993652,2.001946278160614
15,Greece,2020-08-09,0,2020-08-02,386.56436858123743,1.958816928917092
16,Hungary,2020-08-09,0,2020-08-02,102.05403555936664,1.9073849486912435
17,Iceland,2020-08-09,0,2020-08-02,41.63115312206901,2.136276142499688
18,Ireland,2020-08-09,0,2020-08-02,296.24049039278543,2.1803371745076956
19,Italy,2020-08-09,0,2020-08-02,1909.4594819870836,2.346435721304354
20,Kosovo,2020-08-09,0,2020-08-02,1458.0910787454286,2.269536031033997
21,Latvia,2020-08-09,0,2020-08-02,31.70678186657483,2.228692277180593
22,Liechtenstein,2020-08-09,0,2020-08-02,1.0719224054076761,1.9833825482636651
23,Lithuania,2020-08-09,0,2020-08-02,85.35959425123019,2.078076780682863
24,Luxembourg,2020-08-09,0,2020-08-02,580.4321572752633,2.211455236752902
25,Malta,2020-08-09,0,2020-08-02,105.63454722603865,2.291122146316016
26,Moldova,2020-08-09,0,2020-08-02,2137.9990357177085,2.0637033413119252
27,Monaco,2020-08-09,0,2020-08-02,6.311948501945778,2.1444925013826053
28,Montenegro,2020-08-09,0,2020-08-02,527.1970723366712,1.973704437974705
29,Netherlands,2020-08-09,0,2020-08-02,1914.5345058619787,1.9560534204890399
30,North Macedonia,2020-08-09,0,2020-08-02,942.9862307347339,2.3098565804030624
31,Norway,2020-08-09,0,2020-08-02,158.53016870998545,2.048798970586496
32,Poland,2020-08-09,0,2020-08-02,3780.604357369477,2.3171090349049996
33,Portugal,2020-08-09,0,2020-08-02,1557.9402247713588,2.1405465292889385
34,Romania,2020-08-09,0,2020-08-02,7374.921700477804,2.174142463247151
35,Russia,2020-08-09,0,2020-08-02,39171.93794463202,2.235231169985534
36,San Marino,2020-08-09,0,2020-08-02,-0.07737562771160356,2.3345548651920396
37,Serbia,2020-08-09,0,2020-08-02,2487.8515556725215,2.0844516320217243
38,Slovakia,2020-08-09,0,2020-08-02,182.10321067338555,2.270851863829516
