,fips,fct_date,horizon,avl_date,value,fct_std
0,Albania,2020-05-10,0,2020-05-03,101.25881665124894,1.8707993277568509
1,Andorra,2020-05-10,0,2020-05-03,20.62650585780318,2.33969224318801
2,Austria,2020-05-10,0,2020-05-03,476.7328291732647,1.9747841788282485
3,Belarus,2020-05-10,0,2020-05-03,5130.588865320096,2.208539621686667
4,Belgium,2020-05-10,0,2020-05-03,5674.034547720439,2.1411668382475755
5,Bosnia and Herzegovina,2020-05-10,0,2020-05-03,297.5761794967302,2.1048796033398944
6,Bulgaria,2020-05-10,0,2020-05-03,318.51959423054086,2.005736627569914
7,Croatia,2020-05-10,0,2020-05-03,129.31600296072702,1.9329428663889447
8,Cyprus,2020-05-10,0,2020-05-03,73.54478343658354,2.2576177597469274
9,Czechia,2020-05-10,0,2020-05-03,619.8957291129227,2.1258164694744925
10,Denmark,2020-05-10,0,2020-05-03,1079.2583972264038,2.106217815808923
11,Estonia,2020-05-10,0,2020-05-03,131.90642945284162,2.0219917789158446
12,Finland,2020-05-10,0,2020-05-03,739.1326489937419,2.1218267078558943
13,France,2020-05-10,0,2020-05-03,20046.716774067492,2.014649201058043
14,Germany,2020-05-10,0,2020-05-03,10733.262442313397,2.2686135103103626
15,Greece,2020-05-10,0,2020-05-03,156.15151662877724,2.1629601179387237
16,Hungary,2020-05-10,0,2020-05-03,494.1319055584322,2.0301632081438346
17,Iceland,2020-05-10,0,2020-05-03,45.63679655416058,2.114162807160207
18,Ireland,2020-05-10,0,2020-05-03,3267.1868148445064,1.9115701732741732
19,Italy,2020-05-10,0,2020-05-03,16222.453002436727,2.308508576684146
20,Kosovo,2020-05-10,0,2020-05-03,134.35782257016206,2.1435210218975347
21,Latvia,2020-05-10,0,2020-05-03,78.15935723827681,2.3769157134855314
22,Liechtenstein,2020-05-10,0,2020-05-03,1.3977743581752833,2.160818584618571
23,Lithuania,2020-05-10,0,2020-05-03,139.31212915074752,2.349067817843803
24,Luxembourg,2020-05-10,0,2020-05-03,189.6575485143867,2.1720464866048825
25,Malta,2020-05-10,0,2020-05-03,30.878812833290795,2.102792811502935
26,Moldova,2020-05-10,0,2020-05-03,820.2724928558191,1.846037691698701
27,Monaco,2020-05-10,0,2020-05-03,2.6437576833256173,2.2124633819065576
28,Montenegro,2020-05-10,0,2020-05-03,16.476910667337563,2.216970437311118
29,Netherlands,2020-05-10,0,2020-05-03,4162.212398488504,2.0134560213169137
30,North Macedonia,2020-05-10,0,2020-05-03,184.68803912919884,2.1272796459134784
31,Norway,2020-05-10,0,2020-05-03,423.94508489544023,2.2164415304705276
32,Poland,2020-05-10,0,2020-05-03,2318.329428087258,1.929384151977087
33,Portugal,2020-05-10,0,2020-05-03,2755.8630630861444,2.2323514565461773
34,Romania,2020-05-10,0,2020-05-03,2219.06989730199,2.0211619257437548
35,Russia,2020-05-10,0,2020-05-03,45398.12157883865,2.1293947174540615
36,San Marino,2020-05-10,0,2020-05-03,65.41675525256983,2.197783906567548
37,Serbia,2020-05-10,0,2020-05-03,1610.8463540663852,2.1794802099895745
38,Slovakia,2020-05-10,0,2020-05-03,151.9377727948529,2.1275528853961814
39,Slovenia,2020-05-10,0,2020-05-03,73.42383079078422,2.138309768726247
40,Spain,2020-05-10,0,2020-05-03,14659.860776472546,1.9847700989888053
41,Sweden,2020-05-10,0,2020-05-03,4003.837842557663,2.1982745275707387
42,Switzerland,2020-05-10,0,2020-05-03,1124.1728258139956,2.1753686439259687
43,Ukraine,2020-05-10,0,2020-05-03,3003.923859641487,2.15286870516032
44,United Kingdom,2020-05-10,0,2020-05-03,29346.57182431419,2.1591192215102333
45,Albania,2020-05-17,1,2020-05-03,92.16780373214556,3.1436482977193525
46,Andorra,2020-05-17,1,2020-05-03,12.809352658992339,4.0485829068945725
47,Austria,2020-05-17,1,2020-05-03,391.6979945260118,3.474811178199521
48,Belarus,2020-05-17,1,2020-05-03,5600.368846680263,3.8488593625805922
49,Belgium,2020-05-17,1,2020-05-03,4809.7328803110795,3.647765846666388
50,Bosnia and Herzegovina,2020-05-17,1,2020-05-03,290.4965237894753,3.5813150294993545
51,Bulgaria,2020-05-17,1,2020-05-03,325.8824220327451,3.2005877775709153
52,Croatia,2020-05-17,1,2020-05-03,110.21631021103576,3.496672446752986
53,Cyprus,2020-05-17,1,2020-05-03,57.954034024387965,3.697558031163471
54,Czechia,2020-05-17,1,2020-05-03,507.7771379127262,3.6112221534510383
55,Denmark,2020-05-17,1,2020-05-03,1014.1581559057304,3.5524214592869927
56,Estonia,2020-05-17,1,2020-05-03,95.83267264223832,3.700265560949251
57,Finland,2020-05-17,1,2020-05-03,725.0309858506198,3.51615556832838
58,France,2020-05-17,1,2020-05-03,15234.701293691905,3.595221934725516
59,Germany,2020-05-17,1,2020-05-03,9102.582208758104,3.6707937173064007
60,Greece,2020-05-17,1,2020-05-03,132.65419929578957,3.913807607065654
61,Hungary,2020-05-17,1,2020-05-03,436.58170201258645,3.589635636774881
