,fips,fct_date,horizon,avl_date,value,fct_std
0,Albania,2020-07-05,0,2020-06-28,424.3935895577865,2.00333921883493
1,Andorra,2020-07-05,0,2020-06-28,5.183195668907956,2.079855715050376
2,Austria,2020-07-05,0,2020-06-28,365.44888885625187,1.9506852418753267
3,Belarus,2020-07-05,0,2020-06-28,3837.694731846932,1.9033641027227133
4,Belgium,2020-07-05,0,2020-06-28,648.2493740426871,2.340457363099307
5,Bosnia and Herzegovina,2020-07-05,0,2020-06-28,643.8837498675639,2.0905505112706084
6,Bulgaria,2020-07-05,0,2020-06-28,657.0894478236733,2.0396895002499082
7,Croatia,2020-07-05,0,2020-06-28,259.31781883348185,2.279908738484738
8,Cyprus,2020-07-05,0,2020-06-28,8.852530507349343,2.05491411323286
9,Czechia,2020-07-05,0,2020-06-28,743.7499612512256,2.0970453957047424
10,Denmark,2020-07-05,0,2020-06-28,247.45228032657178,2.0668674549585475
11,Estonia,2020-07-05,0,2020-06-28,14.752173024291096,1.9864664158915328
12,Finland,2020-07-05,0,2020-06-28,64.99895865114377,2.415848946880944
13,France,2020-07-05,0,2020-06-28,2114.557679074991,2.1824846209417164
14,Germany,2020-07-05,0,2020-06-28,3153.646346726193,2.269427449380235
15,Greece,2020-07-05,0,2020-06-28,124.81725620642146,2.1470765113236037
16,Hungary,2020-07-05,0,2020-06-28,51.43235202064625,2.3516268558032003
17,Iceland,2020-07-05,0,2020-06-28,7.0200482448633466,2.460772278857844
18,Ireland,2020-07-05,0,2020-06-28,70.52589885225825,2.0449185514507664
19,Italy,2020-07-05,0,2020-06-28,1702.4888477677596,2.0671682655186916
20,Kosovo,2020-07-05,0,2020-06-28,514.5009833444328,2.2346856831557527
21,Latvia,2020-07-05,0,2020-06-28,8.431930167202154,2.2839015245855285
22,Liechtenstein,2020-07-05,0,2020-06-28,0.49316957899183933,2.247063885193928
23,Lithuania,2020-07-05,0,2020-06-28,26.058114461776768,2.335856984410897
24,Luxembourg,2020-07-05,0,2020-06-28,127.9700028978441,1.8945170297237275
25,Malta,2020-07-05,0,2020-06-28,9.425126308119388,2.1773261110450033
26,Moldova,2020-07-05,0,2020-06-28,2035.963769296548,2.099858630446658
27,Monaco,2020-07-05,0,2020-06-28,2.2742511000169543,2.063336722661485
28,Montenegro,2020-07-05,0,2020-06-28,124.65549086256203,2.26759188891954
29,Netherlands,2020-07-05,0,2020-06-28,720.4131696026525,2.3211476338405506
30,North Macedonia,2020-07-05,0,2020-06-28,980.679743978747,2.3352703177096887
31,Norway,2020-07-05,0,2020-06-28,99.44958565935849,2.094330829906271
32,Poland,2020-07-05,0,2020-06-28,2246.2109891994915,2.072626164835652
33,Portugal,2020-07-05,0,2020-06-28,2289.1843396098993,2.222074431812119
34,Romania,2020-07-05,0,2020-06-28,2137.02128564924,2.041653672697969
35,Russia,2020-07-05,0,2020-06-28,53476.315590144135,2.1895058790429425
36,San Marino,2020-07-05,0,2020-06-28,3.3211143778249834,1.8958307839645216
37,Serbia,2020-07-05,0,2020-06-28,1062.8251431455174,2.384286693899713
38,Slovakia,2020-07-05,0,2020-06-28,57.486599068602345,2.1912273363568153
39,Slovenia,2020-07-05,0,2020-06-28,47.893514787633876,2.0177755457197355
40,Spain,2020-07-05,0,2020-06-28,2313.011971869506,1.998136325352124
41,Sweden,2020-07-05,0,2020-06-28,6597.729589621202,2.1482872896815404
42,Switzerland,2020-07-05,0,2020-06-28,290.44511007732217,2.0917279408412717
43,Ukraine,2020-07-05,0,2020-06-28,5650.894895414065,2.2149499939955564
44,United Kingdom,2020-07-05,0,2020-06-28,5452.780699436145,2.00891322278012
45,Albania,2020-07-12,1,2020-06-28,450.13661583427347,3.644542130681771
46,Andorra,2020-07-12,1,2020-06-28,2.9522248475188917,3.5832437075283052
47,Austria,2020-07-12,1,2020-06-28,430.01128391789825,3.6008558196190252
48,Belarus,2020-07-12,1,2020-06-28,3333.8702668329934,3.115917091055925
49,Belgium,2020-07-12,1,2020-06-28,630.9718297938307,3.9869769716232315
50,Bosnia and Herzegovina,2020-07-12,1,2020-06-28,752.2006350005404,3.306399982095806
51,Bulgaria,2020-07-12,1,2020-06-28,751.8729703068493,3.4348412177627017
52,Croatia,2020-07-12,1,2020-06-28,318.6031358008704,3.819134450346759
53,Cyprus,2020-07-12,1,2020-06-28,8.536134755670446,3.646159588594148
54,Czechia,2020-07-12,1,2020-06-28,849.2043427533172,3.763004065756099
55,Denmark,2020-07-12,1,2020-06-28,226.32014191062262,3.352272482112761
56,Estonia,2020-07-12,1,2020-06-28,10.966807932951497,3.068017682172321
57,Finland,2020-07-12,1,2020-06-28,59.416487711205264,3.9761179683676615
58,France,2020-07-12,1,2020-06-28,1907.5387892474246,3.5955677510575645
59,Germany,2020-07-12,1,2020-06-28,3113.437243389344,3.981661120052764
60,Greece,2020-07-12,1,2020-06-28,129.60810138311172,3.612512668230706
61,Hungary,2020-07-12,1,2020-06-28,46.02737448935659,4.091381353772198
62,Iceland,2020-07-12,1,2020-06-28,7.467308330266405,4.142615604011552
63,Ireland,2020-07-12,1,2020-06-28,67.0737710454996,3.4024527642716693
64,Italy,2020-07-12,1,2020-06-28,1575.3474933434627,3.5089111093222876
65,Kosovo,2020-07-12,1,2020-06-28,562.6774496678227,3.8627668046861503
66,Latvia,2020-07-12,1,2020-06-28,8.087805997181249,3.530362047293318
67,Liechtenstein,2020-07-12,1,2020-06-28,0.43460080930951506,3.4407122407950785
68,Lithuania,2020-07-12,1,2020-06-28,22.7532246956589,4.103666220418303
