method,fips,fct_date,horizon,avl_date,value,fct_std,fct_lb,fct_ub,fct_mean
PatchSim_adpt,01027,2020-12-27,2,2020-12-13,,3.5714285714285716,28.0,42.0,35.0
PatchSim_adpt,01027,2021-01-03,3,2020-12-13,,3.5714285714285716,22.0,42.0,35.0
PatchSim_adpt,01027,2021-01-10,4,2020-12-13,,6.122448979591836,20.0,42.0,30.0
PatchSim_adpt,01029,2020-12-20,1,2020-12-13,,5.612244897959184,63.0,84.0,73.0
PatchSim_adpt,01029,2020-12-27,2,2020-12-13,,13.26530612244898,61.0,103.0,77.0
PatchSim_adpt,01029,2021-01-03,3,2020-12-13,,18.877551020408163,56.0,121.0,84.0
PatchSim_adpt,01029,2021-01-10,4,2020-12-13,,26.53061224489796,56.0,138.0,86.0
PatchSim_adpt,01031,2020-12-20,1,2020-12-13,,22.448979591836736,267.0,352.0,308.0
PatchSim_adpt,01031,2020-12-27,2,2020-12-13,,46.42857142857143,273.0,445.0,354.0
PatchSim_adpt,01031,2021-01-03,3,2020-12-13,,73.63520408163245,273.0,539.8249999999996,395.5
PatchSim_adpt,01031,2021-01-10,4,2020-12-13,,103.71173469387749,273.0,637.2749999999999,434.0
PatchSim_adpt,01033,2020-12-20,1,2020-12-13,,19.387755102040817,262.0,338.0,300.0
PatchSim_adpt,01033,2020-12-27,2,2020-12-13,,35.85459183673463,223.0,361.27499999999986,291.0
PatchSim_adpt,01033,2021-01-03,3,2020-12-13,,47.589285714285644,194.45,374.27499999999986,281.0
PatchSim_adpt,01033,2021-01-10,4,2020-12-13,,59.183673469387756,167.45,384.0,268.0
PatchSim_adpt,01035,2020-12-20,1,2020-12-13,,3.5714285714285716,16.0,28.0,21.0
PatchSim_adpt,01035,2020-12-27,2,2020-12-13,,3.5714285714285716,14.0,28.0,21.0
PatchSim_adpt,01035,2021-01-03,3,2020-12-13,,3.5714285714285716,8.725000000000001,28.0,21.0
PatchSim_adpt,01035,2021-01-10,4,2020-12-13,,5.612244897959184,7.0,28.0,17.0
PatchSim_adpt,01037,2020-12-20,1,2020-12-13,,3.5714285714285716,14.0,28.0,21.0
PatchSim_adpt,01037,2020-12-27,2,2020-12-13,,4.081632653061225,13.0,27.0,19.0
PatchSim_adpt,01037,2021-01-03,3,2020-12-13,,3.5714285714285716,7.0,21.0,14.0
PatchSim_adpt,01037,2021-01-10,4,2020-12-13,,3.5714285714285716,7.0,21.0,14.0
PatchSim_adpt,01039,2020-12-20,1,2020-12-13,,12.244897959183673,165.0,213.0,189.0
PatchSim_adpt,01039,2020-12-27,2,2020-12-13,,25.510204081632654,151.0,249.0,199.0
PatchSim_adpt,01039,2021-01-03,3,2020-12-13,,37.38520408163259,141.0,282.27499999999986,209.0
PatchSim_adpt,01039,2021-01-10,4,2020-12-13,,50.51020408163265,130.0,315.0,216.0
PatchSim_adpt,01041,2020-12-20,1,2020-12-13,,4.591836734693878,49.0,64.0,55.0
PatchSim_adpt,01041,2020-12-27,2,2020-12-13,,9.693877551020408,49.0,84.0,65.0
PatchSim_adpt,01041,2021-01-03,3,2020-12-13,,16.836734693877553,49.725,107.0,74.0
PatchSim_adpt,01041,2021-01-10,4,2020-12-13,,24.630102040816258,56.0,133.27499999999986,85.0
PatchSim_adpt,01043,2020-12-20,1,2020-12-13,,47.729591836734556,537.725,723.5499999999997,630.0
PatchSim_adpt,01043,2020-12-27,2,2020-12-13,,89.68112244897952,483.0,823.2749999999999,647.5
PatchSim_adpt,01043,2021-01-03,3,2020-12-13,,124.37499999999993,434.0,893.2749999999999,649.5
PatchSim_adpt,01043,2021-01-10,4,2020-12-13,,158.16326530612244,385.0,949.0,639.0
PatchSim_adpt,01045,2020-12-20,1,2020-12-13,,25.28061224489782,284.0,381.5499999999997,332.0
PatchSim_adpt,01045,2020-12-27,2,2020-12-13,,58.92857142857143,324.725,548.0,432.5
PatchSim_adpt,01045,2021-01-03,3,2020-12-13,,101.27551020408164,360.725,730.0,531.5
PatchSim_adpt,01045,2021-01-10,4,2020-12-13,,158.16326530612244,392.725,940.0,630.0
PatchSim_adpt,01047,2020-12-20,1,2020-12-13,,8.16326530612245,73.0,100.0,84.0
PatchSim_adpt,01047,2020-12-27,2,2020-12-13,,10.714285714285715,62.0,105.0,84.0
PatchSim_adpt,01047,2021-01-03,3,2020-12-13,,15.306122448979592,52.725,110.0,80.0
PatchSim_adpt,01047,2021-01-10,4,2020-12-13,,17.857142857142858,45.0,112.0,77.0
PatchSim_adpt,01049,2020-12-20,1,2020-12-13,,40.816326530612244,543.725,701.0,621.0
PatchSim_adpt,01049,2020-12-27,2,2020-12-13,,82.53826530612238,506.725,816.2749999999999,654.5
PatchSim_adpt,01049,2021-01-03,3,2020-12-13,,119.38775510204081,476.725,913.0,679.0
PatchSim_adpt,01049,2021-01-10,4,2020-12-13,,153.34183673469374,441.45000000000005,986.5499999999997,686.0
PatchSim_adpt,01051,2020-12-20,1,2020-12-13,,45.40816326530612,478.725,655.0,566.0
PatchSim_adpt,01051,2020-12-27,2,2020-12-13,,95.03826530612238,492.725,851.2749999999999,665.0
PatchSim_adpt,01051,2021-01-03,3,2020-12-13,,148.2397959183672,497.0,1041.5499999999997,751.0
PatchSim_adpt,01051,2021-01-10,4,2020-12-13,,209.32397959183666,496.17500000000007,1238.2749999999999,828.0
PatchSim_adpt,01053,2020-12-20,1,2020-12-13,,16.836734693877553,126.0,191.0,158.0
PatchSim_adpt,01053,2020-12-27,2,2020-12-13,,33.16326530612245,131.45,255.0,190.0
PatchSim_adpt,01053,2021-01-03,3,2020-12-13,,53.57142857142857,133.0,324.0,219.0
PatchSim_adpt,01053,2021-01-10,4,2020-12-13,,75.65051020408157,133.0,399.27499999999986,251.0
PatchSim_adpt,01055,2020-12-20,1,2020-12-13,,59.69387755102041,616.0,845.0,728.0
PatchSim_adpt,01055,2020-12-27,2,2020-12-13,,107.14285714285714,508.725,904.0,694.0
PatchSim_adpt,01055,2021-01-03,3,2020-12-13,,138.17602040816305,424.0,930.8249999999996,660.0
PatchSim_adpt,01055,2021-01-10,4,2020-12-13,,167.48724489795913,349.725,944.2749999999999,616.0
PatchSim_adpt,01057,2020-12-20,1,2020-12-13,,8.16326530612245,105.0,137.0,121.0
PatchSim_adpt,01057,2020-12-27,2,2020-12-13,,14.285714285714286,84.0,140.0,112.0
PatchSim_adpt,01057,2021-01-03,3,2020-12-13,,21.56887755102034,70.0,146.27499999999986,104.0
PatchSim_adpt,01057,2021-01-10,4,2020-12-13,,26.020408163265305,58.0,147.0,96.0
PatchSim_adpt,01059,2020-12-20,1,2020-12-13,,14.285714285714286,133.0,187.0,159.0
PatchSim_adpt,01059,2020-12-27,2,2020-12-13,,24.489795918367346,122.725,216.0,168.0
PatchSim_adpt,01059,2021-01-03,3,2020-12-13,,34.69387755102041,111.0,239.0,171.0
PatchSim_adpt,01059,2021-01-10,4,2020-12-13,,42.85714285714286,101.0,259.0,175.0
PatchSim_adpt,01061,2020-12-20,1,2020-12-13,,6.63265306122449,74.0,99.0,86.0
PatchSim_adpt,01061,2020-12-27,2,2020-12-13,,12.244897959183673,69.0,115.0,91.0
PatchSim_adpt,01061,2021-01-03,3,2020-12-13,,18.112244897959183,63.0,127.0,91.5
PatchSim_adpt,01061,2021-01-10,4,2020-12-13,,21.42857142857143,57.0,140.0,98.0
PatchSim_adpt,01063,2020-12-20,1,2020-12-13,,8.673469387755102,59.0,93.0,76.0
PatchSim_adpt,01063,2020-12-27,2,2020-12-13,,17.487244897959116,69.0,135.27499999999986,101.0
PatchSim_adpt,01063,2021-01-03,3,2020-12-13,,27.691326530612177,76.0,175.27499999999986,121.0
PatchSim_adpt,01063,2021-01-10,4,2020-12-13,,38.775510204081634,81.725,216.0,140.0
PatchSim_adpt,01065,2020-12-20,1,2020-12-13,,13.26530612244898,151.0,200.0,174.0
PatchSim_adpt,01065,2020-12-27,2,2020-12-13,,31.122448979591837,161.0,271.0,210.0
PatchSim_adpt,01065,2021-01-03,3,2020-12-13,,48.46938775510204,174.0,341.0,246.0
PatchSim_adpt,01065,2021-01-10,4,2020-12-13,,63.66071428571422,182.0,396.27499999999986,271.5
PatchSim_adpt,01067,2020-12-20,1,2020-12-13,,7.142857142857143,91.0,119.0,105.0
PatchSim_adpt,01067,2020-12-27,2,2020-12-13,,15.816326530612246,94.0,153.0,122.0
PatchSim_adpt,01067,2021-01-03,3,2020-12-13,,26.020408163265305,98.0,192.0,141.0
PatchSim_adpt,01067,2021-01-10,4,2020-12-13,,38.775510204081634,98.0,235.0,159.0
PatchSim_adpt,01069,2020-12-20,1,2020-12-13,,27.551020408163264,380.0,488.0,434.0
PatchSim_adpt,01069,2020-12-27,2,2020-12-13,,55.10204081632653,347.0,556.0,448.0
PatchSim_adpt,01069,2021-01-03,3,2020-12-13,,80.61224489795919,323.725,622.0,464.0
PatchSim_adpt,01069,2021-01-10,4,2020-12-13,,108.81377551020401,296.725,687.2749999999999,474.0
PatchSim_adpt,01071,2020-12-20,1,2020-12-13,,41.60714285714272,248.0,412.5499999999997,331.0
PatchSim_adpt,01071,2020-12-27,2,2020-12-13,,65.58673469387742,189.0,431.5499999999997,303.0
PatchSim_adpt,01071,2021-01-03,3,2020-12-13,,78.8520408163264,141.0,422.5499999999997,268.0
PatchSim_adpt,01071,2021-01-10,4,2020-12-13,,88.03571428571415,104.0,408.5499999999997,236.0
PatchSim_adpt,01073,2020-12-20,1,2020-12-13,,373.7244897959184,4716.175,6175.0,5442.5
PatchSim_adpt,01073,2020-12-27,2,2020-12-13,,788.76275510204,4548.249999999999,7543.4749999999985,5997.5
PatchSim_adpt,01073,2021-01-03,3,2020-12-13,,1202.3214285714273,4404.9,8818.049999999997,6461.5
PatchSim_adpt,01073,2021-01-10,4,2020-12-13,,1628.6479591836733,4195.075,9981.65,6789.5
PatchSim_adpt,01075,2020-12-20,1,2020-12-13,,9.183673469387756,125.0,161.0,143.0
PatchSim_adpt,01075,2020-12-27,2,2020-12-13,,23.46938775510204,131.0,216.0,170.0
PatchSim_adpt,01075,2021-01-03,3,2020-12-13,,36.734693877551024,136.725,266.0,194.0
PatchSim_adpt,01075,2021-01-10,4,2020-12-13,,49.744897959183675,140.0,311.0,213.5
PatchSim_adpt,01077,2020-12-20,1,2020-12-13,,28.06122448979592,359.0,468.0,413.0
