avl_date,fct_date,fct_lb,fct_mean,fct_std,fct_ub,fips,horizon,method,value
2020-10-18,2020-10-25,66,74.0,4.081632653061225,82,01001,1,PatchSim_adpt,
2020-10-18,2020-11-01,56.0,70.0,9.183673469387756,88.0,01001,2,PatchSim_adpt,
2020-10-18,2020-11-08,47.0,69.0,11.73469387755102,92.0,01001,3,PatchSim_adpt,
2020-10-18,2020-11-15,39.0,63.0,17.857142857142858,98.0,01001,4,PatchSim_adpt,
2020-10-18,2020-10-25,122.0,136.0,16.3265306122449,168.0,01003,1,PatchSim_adpt,
2020-10-18,2020-11-01,86.0,107.0,22.95918367346939,152.0,01003,2,PatchSim_adpt,
2020-10-18,2020-11-08,63.0,86.0,26.020408163265305,137.0,01003,3,PatchSim_adpt,
2020-10-18,2020-11-15,47.0,70.0,27.308673469387802,123.52500000000009,01003,4,PatchSim_adpt,
2020-10-18,2020-10-25,28.0,35.0,0.5102040816326531,36.0,01005,1,PatchSim_adpt,
2020-10-18,2020-11-01,28.0,35.0,3.5714285714285716,42.0,01005,2,PatchSim_adpt,
2020-10-18,2020-11-08,22.0,35.0,5.612244897959184,46.0,01005,3,PatchSim_adpt,
2020-10-18,2020-11-15,21.0,32.0,8.673469387755102,49.0,01005,4,PatchSim_adpt,
2020-10-18,2020-10-25,49.0,56.0,2.5510204081632653,61.0,01007,1,PatchSim_adpt,
2020-10-18,2020-11-01,42.0,56.0,8.673469387755102,73.0,01007,2,PatchSim_adpt,
2020-10-18,2020-11-08,36.0,56.0,13.26530612244898,82.0,01007,3,PatchSim_adpt,
2020-10-18,2020-11-15,31.0,56.0,18.877551020408163,93.0,01007,4,PatchSim_adpt,
2020-10-18,2020-10-25,167.47500000000002,196.0,14.795918367346939,225.0,01009,1,PatchSim_adpt,
2020-10-18,2020-11-01,184.0,245.0,45.40816326530612,334.0,01009,2,PatchSim_adpt,
2020-10-18,2020-11-08,194.0,300.0,92.85714285714286,482.0,01009,3,PatchSim_adpt,
2020-10-18,2020-11-15,192.47500000000002,340.0,168.6352040816327,670.5250000000001,01009,4,PatchSim_adpt,
2020-10-18,2020-10-25,7.0,7.0,0,7.0,01011,1,PatchSim_adpt,
2020-10-18,2020-11-01,7.0,7.0,0.0,7.0,01011,2,PatchSim_adpt,
2020-10-18,2020-11-08,7.0,7.0,0.0,7.0,01011,3,PatchSim_adpt,
2020-10-18,2020-11-15,0.0,7.0,0.0,7.0,01011,4,PatchSim_adpt,
2020-10-18,2020-10-25,12.0,16.0,2.5510204081632653,21.0,01013,1,PatchSim_adpt,
2020-10-18,2020-11-01,7.0,14.0,3.5714285714285716,21.0,01013,2,PatchSim_adpt,
2020-10-18,2020-11-08,7.0,14.0,3.5714285714285716,21.0,01013,3,PatchSim_adpt,
2020-10-18,2020-11-15,3.0,13.0,4.081632653061225,21.0,01013,4,PatchSim_adpt,
2020-10-18,2020-10-25,236.0,274.0,22.448979591836736,318.0,01015,1,PatchSim_adpt,
2020-10-18,2020-11-01,219.0,290.0,50.51020408163265,389.0,01015,2,PatchSim_adpt,
2020-10-18,2020-11-08,202.47500000000002,299.0,84.6938775510204,465.0,01015,3,PatchSim_adpt,
2020-10-18,2020-11-15,181.0,301.0,123.9795918367347,544.0,01015,4,PatchSim_adpt,
2020-10-18,2020-10-25,84.0,107.0,22.95918367346939,152.0,01017,1,PatchSim_adpt,
2020-10-18,2020-11-01,73.0,111.0,39.55357142857147,188.5250000000001,01017,2,PatchSim_adpt,
2020-10-18,2020-11-08,70.0,115.0,59.183673469387756,231.0,01017,3,PatchSim_adpt,
2020-10-18,2020-11-15,63.0,119.0,82.14285714285714,280.0,01017,4,PatchSim_adpt,
2020-10-18,2020-10-25,23.0,28.0,0.0,28.0,01019,1,PatchSim_adpt,
2020-10-18,2020-11-01,18.0,22.0,3.061224489795918,28.0,01019,2,PatchSim_adpt,
2020-10-18,2020-11-08,14.0,21.0,3.5714285714285716,28.0,01019,3,PatchSim_adpt,
2020-10-18,2020-11-15,12.0,20.0,4.081632653061225,28.0,01019,4,PatchSim_adpt,
2020-10-18,2020-10-25,74.0,84.0,10.204081632653061,104.0,01021,1,PatchSim_adpt,
2020-10-18,2020-11-01,61.0,83.0,16.836734693877553,116.0,01021,2,PatchSim_adpt,
2020-10-18,2020-11-08,52.0,77.0,27.040816326530614,130.0,01021,3,PatchSim_adpt,
2020-10-18,2020-11-15,44.0,74.0,35.204081632653065,143.0,01021,4,PatchSim_adpt,
2020-10-18,2020-10-25,7.0,7.0,0.0,7.0,01023,1,PatchSim_adpt,
2020-10-18,2020-11-01,7.0,7.0,0.0,7.0,01023,2,PatchSim_adpt,
2020-10-18,2020-11-08,7.0,7.0,0.0,7.0,01023,3,PatchSim_adpt,
2020-10-18,2020-11-15,2.0,7.0,0.0,7.0,01023,4,PatchSim_adpt,
2020-10-18,2020-10-25,52.0,61.0,4.081632653061225,69.0,01025,1,PatchSim_adpt,
2020-10-18,2020-11-01,39.0,54.0,8.16326530612245,70.0,01025,2,PatchSim_adpt,
2020-10-18,2020-11-08,31.0,49.0,13.26530612244898,75.0,01025,3,PatchSim_adpt,
2020-10-18,2020-11-15,23.0,44.0,16.836734693877553,77.0,01025,4,PatchSim_adpt,
2020-10-18,2020-10-25,49.0,63.0,5.1020408163265305,73.0,01027,1,PatchSim_adpt,
2020-10-18,2020-11-01,39.0,63.0,13.26530612244898,89.0,01027,2,PatchSim_adpt,
2020-10-18,2020-11-08,30.0,63.0,21.42857142857143,105.0,01027,3,PatchSim_adpt,
2020-10-18,2020-11-15,20.0,56.0,33.16326530612245,121.0,01027,4,PatchSim_adpt,
2020-10-18,2020-10-25,49.0,56.0,4.591836734693878,65.0,01029,1,PatchSim_adpt,
2020-10-18,2020-11-01,41.0,56.0,9.183673469387756,74.0,01029,2,PatchSim_adpt,
2020-10-18,2020-11-08,35.0,53.0,15.306122448979592,83.0,01029,3,PatchSim_adpt,
2020-10-18,2020-11-15,28.0,49.0,21.42857142857143,91.0,01029,4,PatchSim_adpt,
2020-10-18,2020-10-25,137.0,156.0,15.063775510204128,185.5250000000001,01031,1,PatchSim_adpt,
2020-10-18,2020-11-01,129.0,171.0,33.16326530612245,236.0,01031,2,PatchSim_adpt,
2020-10-18,2020-11-08,123.0,182.0,56.63265306122449,293.0,01031,3,PatchSim_adpt,
2020-10-18,2020-11-15,113.0,189.0,84.6938775510204,355.0,01031,4,PatchSim_adpt,
2020-10-18,2020-10-25,124.0,140.0,12.244897959183673,164.0,01033,1,PatchSim_adpt,
2020-10-18,2020-11-01,114.0,149.0,29.081632653061224,206.0,01033,2,PatchSim_adpt,
2020-10-18,2020-11-08,105.0,158.0,48.73724489795923,253.5250000000001,01033,3,PatchSim_adpt,
2020-10-18,2020-11-15,96.0,164.0,73.46938775510205,308.0,01033,4,PatchSim_adpt,
2020-10-18,2020-10-25,7.0,7.0,0.0,7.0,01035,1,PatchSim_adpt,
2020-10-18,2020-11-01,7.0,7.0,3.061224489795918,13.0,01035,2,PatchSim_adpt,
2020-10-18,2020-11-08,7.0,7.0,3.5714285714285716,14.0,01035,3,PatchSim_adpt,
2020-10-18,2020-11-15,7.0,7.0,3.5714285714285716,14.0,01035,4,PatchSim_adpt,
2020-10-18,2020-10-25,12.0,14.0,0.0,14.0,01037,1,PatchSim_adpt,
2020-10-18,2020-11-01,7.0,14.0,0.0,14.0,01037,2,PatchSim_adpt,
2020-10-18,2020-11-08,7.0,14.0,3.3290816326531076,20.52500000000009,01037,3,PatchSim_adpt,
2020-10-18,2020-11-15,7.0,14.0,3.5714285714285716,21.0,01037,4,PatchSim_adpt,
2020-10-18,2020-10-25,80.47500000000001,91.0,5.1020408163265305,101.0,01039,1,PatchSim_adpt,
2020-10-18,2020-11-01,63.0,83.0,11.224489795918368,105.0,01039,2,PatchSim_adpt,
2020-10-18,2020-11-08,51.0,76.0,18.367346938775512,112.0,01039,3,PatchSim_adpt,
2020-10-18,2020-11-15,39.0,69.0,22.448979591836736,113.0,01039,4,PatchSim_adpt,
2020-10-18,2020-10-25,35.0,39.0,3.5714285714285716,46.0,01041,1,PatchSim_adpt,
2020-10-18,2020-11-01,35.0,46.0,8.673469387755102,63.0,01041,2,PatchSim_adpt,
2020-10-18,2020-11-08,35.0,52.0,16.594387755102087,84.52500000000009,01041,3,PatchSim_adpt,
2020-10-18,2020-11-15,30.0,56.0,27.551020408163264,110.0,01041,4,PatchSim_adpt,
2020-10-18,2020-10-25,239.0,278.0,18.877551020408163,315.0,01043,1,PatchSim_adpt,
2020-10-18,2020-11-01,252.0,343.0,55.10204081632653,451.0,01043,2,PatchSim_adpt,
2020-10-18,2020-11-08,258.0,411.0,111.22448979591837,629.0,01043,3,PatchSim_adpt,
2020-10-18,2020-11-15,247.0,469.0,193.39285714285725,848.0500000000002,01043,4,PatchSim_adpt,
2020-10-18,2020-10-25,61.0,70.0,6.122448979591836,82.0,01045,1,PatchSim_adpt,
2020-10-18,2020-11-01,52.0,66.0,12.244897959183673,90.0,01045,2,PatchSim_adpt,
2020-10-18,2020-11-08,45.0,63.0,17.346938775510203,97.0,01045,3,PatchSim_adpt,
2020-10-18,2020-11-15,39.0,61.0,21.93877551020408,104.0,01045,4,PatchSim_adpt,
2020-10-18,2020-10-25,18.0,21.0,1.0204081632653061,23.0,01047,1,PatchSim_adpt,
2020-10-18,2020-11-01,14.0,21.0,3.5714285714285716,28.0,01047,2,PatchSim_adpt,
2020-10-18,2020-11-08,14.0,15.0,6.63265306122449,28.0,01047,3,PatchSim_adpt,
2020-10-18,2020-11-15,9.0,14.0,7.142857142857143,28.0,01047,4,PatchSim_adpt,
2020-10-18,2020-10-25,293.0,358.0,32.142857142857146,421.0,01049,1,PatchSim_adpt,
2020-10-18,2020-11-01,241.47500000000002,370.0,77.04081632653062,521.0,01049,2,PatchSim_adpt,
2020-10-18,2020-11-08,189.0,362.0,129.85969387755108,616.5250000000001,01049,3,PatchSim_adpt,
2020-10-18,2020-11-15,141.0,342.0,190.06377551020412,714.5250000000001,01049,4,PatchSim_adpt,
2020-10-18,2020-10-25,91.0,101.0,5.612244897959184,112.0,01051,1,PatchSim_adpt,
2020-10-18,2020-11-01,69.0,88.0,11.224489795918368,110.0,01051,2,PatchSim_adpt,
2020-10-18,2020-11-08,53.47500000000001,77.0,14.285714285714286,105.0,01051,3,PatchSim_adpt,
2020-10-18,2020-11-15,41.0,67.0,17.346938775510203,101.0,01051,4,PatchSim_adpt,
2020-10-18,2020-10-25,19.0,21.0,2.0408163265306123,25.0,01053,1,PatchSim_adpt,
2020-10-18,2020-11-01,14.0,18.0,1.530612244897959,21.0,01053,2,PatchSim_adpt,
2020-10-18,2020-11-08,12.0,14.0,3.5714285714285716,21.0,01053,3,PatchSim_adpt,
2020-10-18,2020-11-15,7.0,14.0,3.5714285714285716,21.0,01053,4,PatchSim_adpt,
2020-10-18,2020-10-25,321.0,402.0,64.28571428571429,528.0,01055,1,PatchSim_adpt,
2020-10-18,2020-11-01,292.475,436.0,145.70153061224505,721.5750000000003,01055,2,PatchSim_adpt,
2020-10-18,2020-11-08,267.0,463.0,243.3673469387755,940.0,01055,3,PatchSim_adpt,
2020-10-18,2020-11-15,238.0,476.0,362.51275510204084,1186.525,01055,4,PatchSim_adpt,
2020-10-18,2020-10-25,35.0,42.0,1.530612244897959,45.0,01057,1,PatchSim_adpt,
2020-10-18,2020-11-01,32.0,42.0,5.612244897959184,53.0,01057,2,PatchSim_adpt,
2020-10-18,2020-11-08,28.0,42.0,9.693877551020408,61.0,01057,3,PatchSim_adpt,
2020-10-18,2020-11-15,26.0,42.0,14.285714285714286,70.0,01057,4,PatchSim_adpt,
2020-10-18,2020-10-25,91.47500000000001,121.0,13.26530612244898,147.0,01059,1,PatchSim_adpt,
2020-10-18,2020-11-01,73.0,135.0,33.16326530612245,200.0,01059,2,PatchSim_adpt,
2020-10-18,2020-11-08,55.0,143.5,61.23724489795923,263.5250000000001,01059,3,PatchSim_adpt,
2020-10-18,2020-11-15,37.0,147.0,92.34693877551021,328.0,01059,4,PatchSim_adpt,
2020-10-18,2020-10-25,25.0,29.0,1.530612244897959,32.0,01061,1,PatchSim_adpt,
2020-10-18,2020-11-01,17.0,21.0,3.061224489795918,27.0,01061,2,PatchSim_adpt,
2020-10-18,2020-11-08,12.0,15.0,3.061224489795918,21.0,01061,3,PatchSim_adpt,
2020-10-18,2020-11-15,7.0,14.0,2.5510204081632653,19.0,01061,4,PatchSim_adpt,
2020-10-18,2020-10-25,14.0,14.0,2.0408163265306123,18.0,01063,1,PatchSim_adpt,
2020-10-18,2020-11-01,14.0,14.0,3.5714285714285716,21.0,01063,2,PatchSim_adpt,
2020-10-18,2020-11-08,14.0,14.0,5.1020408163265305,24.0,01063,3,PatchSim_adpt,
2020-10-18,2020-11-15,8.0,14.0,7.142857142857143,28.0,01063,4,PatchSim_adpt,
2020-10-18,2020-10-25,16.0,21.0,2.5510204081632653,26.0,01065,1,PatchSim_adpt,
2020-10-18,2020-11-01,14.0,21.0,3.5714285714285716,28.0,01065,2,PatchSim_adpt,
2020-10-18,2020-11-08,7.0,14.0,6.63265306122449,27.0,01065,3,PatchSim_adpt,
2020-10-18,2020-11-15,7.0,14.0,3.5714285714285716,21.0,01065,4,PatchSim_adpt,
2020-10-18,2020-10-25,14.0,17.0,2.0408163265306123,21.0,01067,1,PatchSim_adpt,
2020-10-18,2020-11-01,9.0,14.0,1.0204081632653061,16.0,01067,2,PatchSim_adpt,
2020-10-18,2020-11-08,7.0,9.0,2.5510204081632653,14.0,01067,3,PatchSim_adpt,
2020-10-18,2020-11-15,7.0,7.0,3.5714285714285716,14.0,01067,4,PatchSim_adpt,
2020-10-18,2020-10-25,76.0,84.0,4.591836734693878,93.0,01069,1,PatchSim_adpt,
2020-10-18,2020-11-01,48.0,60.0,7.653061224489796,75.0,01069,2,PatchSim_adpt,
2020-10-18,2020-11-08,31.0,44.0,7.653061224489796,59.0,01069,3,PatchSim_adpt,
2020-10-18,2020-11-15,20.0,32.0,7.142857142857143,46.0,01069,4,PatchSim_adpt,
2020-10-18,2020-10-25,210.47500000000002,245.0,17.857142857142858,280.0,01071,1,PatchSim_adpt,
2020-10-18,2020-11-01,186.0,260.0,47.71683673469393,353.5250000000001,01071,2,PatchSim_adpt,
2020-10-18,2020-11-08,158.0,266.0,87.24489795918367,437.0,01071,3,PatchSim_adpt,
2020-10-18,2020-11-15,126.0,265.0,132.6530612244898,525.0,01071,4,PatchSim_adpt,
2020-10-18,2020-10-25,929.0,1041.0,63.775510204081634,1166.0,01073,1,PatchSim_adpt,
2020-10-18,2020-11-01,835.0,1048.0,145.91836734693877,1334.0,01073,2,PatchSim_adpt,
2020-10-18,2020-11-08,758.0,1056.0,230.63775510204093,1508.0500000000002,01073,3,PatchSim_adpt,
2020-10-18,2020-11-15,677.0,1048.5,322.97193877551024,1681.525,01073,4,PatchSim_adpt,
2020-10-18,2020-10-25,42.0,48.0,3.5714285714285716,55.0,01075,1,PatchSim_adpt,
2020-10-18,2020-11-01,42.0,53.0,9.183673469387756,71.0,01075,2,PatchSim_adpt,
2020-10-18,2020-11-08,35.0,56.0,17.857142857142858,91.0,01075,3,PatchSim_adpt,
2020-10-18,2020-11-15,35.0,56.0,28.06122448979592,111.0,01075,4,PatchSim_adpt,
2020-10-18,2020-10-25,209.0,245.5,25.255102040816325,295.0,01077,1,PatchSim_adpt,
2020-10-18,2020-11-01,200.0,271.0,60.982142857142904,390.5250000000001,01077,2,PatchSim_adpt,
2020-10-18,2020-11-08,196.0,300.5,106.13520408163271,508.5250000000001,01077,3,PatchSim_adpt,
2020-10-18,2020-11-15,194.0,326.0,163.31632653061243,646.1000000000004,01077,4,PatchSim_adpt,
2020-10-18,2020-10-25,57.0,64.0,5.612244897959184,75.0,01079,1,PatchSim_adpt,
2020-10-18,2020-11-01,49.0,63.0,10.714285714285715,84.0,01079,2,PatchSim_adpt,
2020-10-18,2020-11-08,42.0,63.0,15.306122448979592,93.0,01079,3,PatchSim_adpt,
2020-10-18,2020-11-15,35.0,63.0,19.387755102040817,101.0,01079,4,PatchSim_adpt,
2020-10-18,2020-10-25,84.0,93.0,4.081632653061225,101.0,01081,1,PatchSim_adpt,
2020-10-18,2020-11-01,58.0,71.0,8.16326530612245,87.0,01081,2,PatchSim_adpt,
2020-10-18,2020-11-08,42.0,56.0,9.183673469387756,74.0,01081,3,PatchSim_adpt,
2020-10-18,2020-11-15,31.0,45.0,9.183673469387756,63.0,01081,4,PatchSim_adpt,
2020-10-18,2020-10-25,117.0,140.0,10.204081632653061,160.0,01083,1,PatchSim_adpt,
2020-10-18,2020-11-01,87.0,121.0,16.836734693877553,154.0,01083,2,PatchSim_adpt,
