fips,fct_date,horizon,avl_date,method,value,fct_std
1001,2020-08-02,0,2020-07-26,spatial_mob,130.70714436473628,142.43854634711946
1001,2020-08-09,1,2020-07-26,spatial_mob,152.40254359100308,196.88396512717662
1001,2020-08-16,2,2020-07-26,spatial_mob,149.400960250198,213.65124758528026
1001,2020-08-23,3,2020-07-26,spatial_mob,150.44731550419252,215.3918367293791
1003,2020-08-02,0,2020-07-26,spatial_mob,889.1352798667565,1456.7659447534686
1003,2020-08-09,1,2020-07-26,spatial_mob,954.7442129230127,1796.7155660840062
1003,2020-08-16,2,2020-07-26,spatial_mob,858.7672644631807,1427.147876858549
1003,2020-08-23,3,2020-07-26,spatial_mob,875.9797105760301,1290.007370509715
1005,2020-08-02,0,2020-07-26,spatial_mob,66.48211603947172,103.09031444828906
1005,2020-08-09,1,2020-07-26,spatial_mob,110.13365491580863,259.1208831209831
1005,2020-08-16,2,2020-07-26,spatial_mob,44.25579481089492,25.9951852242009
1005,2020-08-23,3,2020-07-26,spatial_mob,72.6246551966547,106.82937306535976
1007,2020-08-02,0,2020-07-26,spatial_mob,87.50441941736223,129.68585524778672
1007,2020-08-09,1,2020-07-26,spatial_mob,101.27865798147829,186.71779588728046
1007,2020-08-16,2,2020-07-26,spatial_mob,100.25822298492838,199.3670130536161
1007,2020-08-23,3,2020-07-26,spatial_mob,90.2661531714808,153.13421139958427
1009,2020-08-02,0,2020-07-26,spatial_mob,219.3630162454513,292.50738439338454
1009,2020-08-09,1,2020-07-26,spatial_mob,227.9380988116221,269.4932016766236
1009,2020-08-16,2,2020-07-26,spatial_mob,209.0803099987197,224.74439425153594
1009,2020-08-23,3,2020-07-26,spatial_mob,246.99312246630032,364.29454784576967
1011,2020-08-02,0,2020-07-26,spatial_mob,50.97706984470157,77.0083524281618
1011,2020-08-09,1,2020-07-26,spatial_mob,43.6581676880807,52.23185740600847
1011,2020-08-16,2,2020-07-26,spatial_mob,45.2641284819691,56.620152488779965
1011,2020-08-23,3,2020-07-26,spatial_mob,42.888955232602854,50.920524796769236
1013,2020-08-02,0,2020-07-26,spatial_mob,51.40893205643735,62.34201161899259
1013,2020-08-09,1,2020-07-26,spatial_mob,49.76042628290781,60.596709410048646
1013,2020-08-16,2,2020-07-26,spatial_mob,45.6705896664641,45.66201682342498
1013,2020-08-23,3,2020-07-26,spatial_mob,59.2219044759246,85.35761513898741
1015,2020-08-02,0,2020-07-26,spatial_mob,830.3898254125965,1443.0666242277414
1015,2020-08-09,1,2020-07-26,spatial_mob,868.5683557887503,1335.5275309611495
1015,2020-08-16,2,2020-07-26,spatial_mob,1114.4686188591672,3552.61855733844
1015,2020-08-23,3,2020-07-26,spatial_mob,877.0778939670229,1327.594896537189
1017,2020-08-02,0,2020-07-26,spatial_mob,93.34440053301316,213.12476944433342
1017,2020-08-09,1,2020-07-26,spatial_mob,68.67814545902034,90.08684789348342
1017,2020-08-16,2,2020-07-26,spatial_mob,68.75857912228751,80.11991816088961
1017,2020-08-23,3,2020-07-26,spatial_mob,52.4680800536299,47.43939545350771
1019,2020-08-02,0,2020-07-26,spatial_mob,53.643502414123056,83.63284543181098
1019,2020-08-09,1,2020-07-26,spatial_mob,48.38107127514862,63.74041965455431
1019,2020-08-16,2,2020-07-26,spatial_mob,40.008200332506384,40.05869925285352
1019,2020-08-23,3,2020-07-26,spatial_mob,55.077976352658574,92.25343375098
1021,2020-08-02,0,2020-07-26,spatial_mob,227.5907042016824,491.6990269201322
1021,2020-08-09,1,2020-07-26,spatial_mob,196.48445051092696,282.88703454834666
1021,2020-08-16,2,2020-07-26,spatial_mob,186.32137854405673,342.62263336309826
1021,2020-08-23,3,2020-07-26,spatial_mob,154.80186782347704,183.28231412120468
1023,2020-08-02,0,2020-07-26,spatial_mob,22.749468077986425,32.54259513525436
1023,2020-08-09,1,2020-07-26,spatial_mob,24.35481147310871,40.264837622057726
1023,2020-08-16,2,2020-07-26,spatial_mob,20.437943158139266,21.928949510922624
1023,2020-08-23,3,2020-07-26,spatial_mob,18.14342146053385,16.41689249177217
1025,2020-08-02,0,2020-07-26,spatial_mob,82.14918488865143,117.7750880538512
1025,2020-08-09,1,2020-07-26,spatial_mob,85.97873925057799,120.67412862900605
1025,2020-08-16,2,2020-07-26,spatial_mob,78.69398488710101,99.17626900911672
1025,2020-08-23,3,2020-07-26,spatial_mob,64.22281146469625,63.54487169786921
1027,2020-08-02,0,2020-07-26,spatial_mob,126.63239049446676,349.35067612134094
1027,2020-08-09,1,2020-07-26,spatial_mob,108.4465154534406,175.79945097030753
1027,2020-08-16,2,2020-07-26,spatial_mob,81.10692422714641,99.41847254639768
1027,2020-08-23,3,2020-07-26,spatial_mob,94.59307829397775,149.93535197707902
1029,2020-08-02,0,2020-07-26,spatial_mob,26.365045706043873,30.939851608696994
1029,2020-08-09,1,2020-07-26,spatial_mob,25.668385408104424,32.452390585146176
1029,2020-08-16,2,2020-07-26,spatial_mob,28.44515597479949,38.77230800239917
1029,2020-08-23,3,2020-07-26,spatial_mob,27.635443601314613,37.43691954584448
1031,2020-08-02,0,2020-07-26,spatial_mob,128.78004563646772,172.43557625862746
1031,2020-08-09,1,2020-07-26,spatial_mob,140.3459281390243,201.3529853583909
1031,2020-08-16,2,2020-07-26,spatial_mob,141.6529389193759,206.75489290724025
1031,2020-08-23,3,2020-07-26,spatial_mob,181.13925545059692,650.7371495086188
1033,2020-08-02,0,2020-07-26,spatial_mob,252.0862196507913,228.13658159805573
1033,2020-08-09,1,2020-07-26,spatial_mob,314.3489162496692,427.05035311624937
1033,2020-08-16,2,2020-07-26,spatial_mob,303.585032208608,345.4420952965821
1033,2020-08-23,3,2020-07-26,spatial_mob,337.85586504877705,493.21280608271246
1035,2020-08-02,0,2020-07-26,spatial_mob,74.38678160579009,134.88062215421405
1035,2020-08-09,1,2020-07-26,spatial_mob,51.32714420012957,63.40686954862356
1035,2020-08-16,2,2020-07-26,spatial_mob,47.42289372925612,26.700774529948372
1035,2020-08-23,3,2020-07-26,spatial_mob,48.11109059709742,25.98433156124101
1037,2020-08-02,0,2020-07-26,spatial_mob,10.937456728739717,14.489248350356045
1037,2020-08-09,1,2020-07-26,spatial_mob,25.073536771611355,65.05037240646465
1037,2020-08-16,2,2020-07-26,spatial_mob,23.817237732960447,53.280890745156356
1037,2020-08-23,3,2020-07-26,spatial_mob,10.893430230838053,13.428183614040101
1039,2020-08-02,0,2020-07-26,spatial_mob,131.8458560313719,213.149992168648
1039,2020-08-09,1,2020-07-26,spatial_mob,71.39292686936426,67.7515238222013
1039,2020-08-16,2,2020-07-26,spatial_mob,160.79740072367906,322.52725648678637
1039,2020-08-23,3,2020-07-26,spatial_mob,92.0391039234293,105.68356272481905
1041,2020-08-02,0,2020-07-26,spatial_mob,97.29417018102049,123.62378040367255
1041,2020-08-09,1,2020-07-26,spatial_mob,95.15030730216611,122.04950057329727
1041,2020-08-16,2,2020-07-26,spatial_mob,78.89527388855277,91.64367302658712
1041,2020-08-23,3,2020-07-26,spatial_mob,78.48205791962509,81.02114355001834
1043,2020-08-02,0,2020-07-26,spatial_mob,332.82858396834087,502.4397747834433
1043,2020-08-09,1,2020-07-26,spatial_mob,270.9769406300866,328.46819503261213
1043,2020-08-16,2,2020-07-26,spatial_mob,199.913890718944,165.71132634999427
1043,2020-08-23,3,2020-07-26,spatial_mob,206.99738957403525,174.31311353310082
1045,2020-08-02,0,2020-07-26,spatial_mob,199.2646035592664,395.2270256027162
1045,2020-08-09,1,2020-07-26,spatial_mob,238.51043511975558,465.5218091112896
1045,2020-08-16,2,2020-07-26,spatial_mob,172.06578280441448,281.72820873145037
1045,2020-08-23,3,2020-07-26,spatial_mob,164.98409056774764,234.36506240072328
1047,2020-08-02,0,2020-07-26,spatial_mob,192.38125979846168,389.93148693565
1047,2020-08-09,1,2020-07-26,spatial_mob,109.34625640118291,105.28520894673684
1047,2020-08-16,2,2020-07-26,spatial_mob,123.3835492829327,149.5228171909114
1047,2020-08-23,3,2020-07-26,spatial_mob,144.48807243106364,200.7960575135767
1049,2020-08-02,0,2020-07-26,spatial_mob,319.7129550034245,482.9212742969352
1049,2020-08-09,1,2020-07-26,spatial_mob,317.24733262293165,454.9482329951626
1049,2020-08-16,2,2020-07-26,spatial_mob,323.46793793959597,414.65643524719263
1049,2020-08-23,3,2020-07-26,spatial_mob,253.73129835066246,281.35395968090967
1051,2020-08-02,0,2020-07-26,spatial_mob,170.3350333728058,153.2618407186379
1051,2020-08-09,1,2020-07-26,spatial_mob,217.8479990380257,248.6406873154433
1051,2020-08-16,2,2020-07-26,spatial_mob,173.8193155789371,161.49194756031937
1051,2020-08-23,3,2020-07-26,spatial_mob,147.10663841209558,48.81417334195056
1053,2020-08-02,0,2020-07-26,spatial_mob,285.68370697636976,467.07660574611253
1053,2020-08-09,1,2020-07-26,spatial_mob,215.7322860216561,300.21942790927767
1053,2020-08-16,2,2020-07-26,spatial_mob,246.2114302891232,334.0539763258343
1053,2020-08-23,3,2020-07-26,spatial_mob,249.12395160357656,360.9965534685354
1055,2020-08-02,0,2020-07-26,spatial_mob,647.2558639457783,1673.730375315525
1055,2020-08-09,1,2020-07-26,spatial_mob,488.4411454515294,785.6453010232782
1055,2020-08-16,2,2020-07-26,spatial_mob,801.0082141394928,2320.3216745964464
1055,2020-08-23,3,2020-07-26,spatial_mob,460.50711517635017,778.3920209459503
1057,2020-08-02,0,2020-07-26,spatial_mob,50.16036214083595,55.663563592805225
1057,2020-08-09,1,2020-07-26,spatial_mob,58.824040923584484,101.5945706724962
1057,2020-08-16,2,2020-07-26,spatial_mob,53.664344640336246,69.45271296885913
1057,2020-08-23,3,2020-07-26,spatial_mob,50.8192447944344,65.83337561446972
1059,2020-08-02,0,2020-07-26,spatial_mob,115.94474876689878,98.34721081381771
1059,2020-08-09,1,2020-07-26,spatial_mob,167.33796511015112,245.91883534042444
1059,2020-08-16,2,2020-07-26,spatial_mob,175.50208495898477,302.04869723906376
1059,2020-08-23,3,2020-07-26,spatial_mob,139.390131826972,157.0838175606719
1061,2020-08-02,0,2020-07-26,spatial_mob,105.12975683371643,369.2766899371752
1061,2020-08-09,1,2020-07-26,spatial_mob,57.431082675498075,77.87709517580423
1061,2020-08-16,2,2020-07-26,spatial_mob,65.90117648650684,111.09011516354904
1061,2020-08-23,3,2020-07-26,spatial_mob,52.327014981847675,62.71104761108512
1063,2020-08-02,0,2020-07-26,spatial_mob,12.304230479895375,18.29606446346984
1063,2020-08-09,1,2020-07-26,spatial_mob,15.711278006620722,28.074179838698093
1063,2020-08-16,2,2020-07-26,spatial_mob,10.871254235284292,12.77545084308248
1063,2020-08-23,3,2020-07-26,spatial_mob,13.071565040180712,22.816382169503694
1065,2020-08-02,0,2020-07-26,spatial_mob,67.90001368602213,123.3186698517977
1065,2020-08-09,1,2020-07-26,spatial_mob,41.89799217560026,27.06923446995357
1065,2020-08-16,2,2020-07-26,spatial_mob,43.03897852152284,31.11416353477622
1065,2020-08-23,3,2020-07-26,spatial_mob,50.82592505742032,68.63814368746169
1067,2020-08-02,0,2020-07-26,spatial_mob,38.32057397274982,20.41369604462266
1067,2020-08-09,1,2020-07-26,spatial_mob,130.93151648693984,379.33482829895655
1067,2020-08-16,2,2020-07-26,spatial_mob,44.97285681355535,42.1140737692566
1067,2020-08-23,3,2020-07-26,spatial_mob,56.518454444758355,84.10802163455365
1069,2020-08-02,0,2020-07-26,spatial_mob,421.4318638269594,753.9719052328543
1069,2020-08-09,1,2020-07-26,spatial_mob,465.9307219476759,798.8087868830638
1069,2020-08-16,2,2020-07-26,spatial_mob,554.9548515994861,1782.5626180943539
1069,2020-08-23,3,2020-07-26,spatial_mob,532.5246933779547,999.1296314460167
1071,2020-08-02,0,2020-07-26,spatial_mob,243.8298796061157,336.4453428818453
1071,2020-08-09,1,2020-07-26,spatial_mob,312.4541135410141,537.7131893741298
1071,2020-08-16,2,2020-07-26,spatial_mob,239.28817140464008,298.5532849823079
1071,2020-08-23,3,2020-07-26,spatial_mob,239.1019414657393,310.45832070653563
1073,2020-08-02,0,2020-07-26,spatial_mob,2714.0028360860106,4245.376270161957
1073,2020-08-09,1,2020-07-26,spatial_mob,2542.829320605481,3959.187949420104
1073,2020-08-16,2,2020-07-26,spatial_mob,2880.935644522997,6151.347929720278
1073,2020-08-23,3,2020-07-26,spatial_mob,3513.200793295214,10687.458998262888
1075,2020-08-02,0,2020-07-26,spatial_mob,54.16273575936077,81.23127491769408
1075,2020-08-09,1,2020-07-26,spatial_mob,51.92426700537249,78.07389196323562
1075,2020-08-16,2,2020-07-26,spatial_mob,48.47518214688567,62.2955447513576
1075,2020-08-23,3,2020-07-26,spatial_mob,48.10420869501303,60.44415387081233
1077,2020-08-02,0,2020-07-26,spatial_mob,307.34852652806194,534.9592047518264
1077,2020-08-09,1,2020-07-26,spatial_mob,265.60384552236303,392.3012249167845
1077,2020-08-16,2,2020-07-26,spatial_mob,288.6105952824177,446.0074302745239
1077,2020-08-23,3,2020-07-26,spatial_mob,263.64028231112263,384.2453054561776
1079,2020-08-02,0,2020-07-26,spatial_mob,259.8338558947789,830.5375876598001
1079,2020-08-09,1,2020-07-26,spatial_mob,126.0929524582086,232.2255179633001
1079,2020-08-16,2,2020-07-26,spatial_mob,110.09519477982107,162.70764775441043
1079,2020-08-23,3,2020-07-26,spatial_mob,88.48880840551851,111.0506180966272
1081,2020-08-02,0,2020-07-26,spatial_mob,406.1206750811224,560.8178975374918
1081,2020-08-09,1,2020-07-26,spatial_mob,386.8481928351782,572.2432053282403
1081,2020-08-16,2,2020-07-26,spatial_mob,400.52981076744766,486.37386719381965
1081,2020-08-23,3,2020-07-26,spatial_mob,370.67950204565636,439.482594906968
1083,2020-08-02,0,2020-07-26,spatial_mob,475.1271374215528,1286.1190219678826
1083,2020-08-09,1,2020-07-26,spatial_mob,375.60447446133514,731.3933628600151
1083,2020-08-16,2,2020-07-26,spatial_mob,223.97075745099326,208.27486518902012
1083,2020-08-23,3,2020-07-26,spatial_mob,276.31317037087945,394.9657341856335
1085,2020-08-02,0,2020-07-26,spatial_mob,28.958994701319746,41.11979555071489
1085,2020-08-09,1,2020-07-26,spatial_mob,30.152906699851684,45.08589249735702
1085,2020-08-16,2,2020-07-26,spatial_mob,30.76434394798637,44.94115513155627
1085,2020-08-23,3,2020-07-26,spatial_mob,26.77921676046273,41.970162035202826
1087,2020-08-02,0,2020-07-26,spatial_mob,29.706807064456672,42.15238616718357
1087,2020-08-09,1,2020-07-26,spatial_mob,35.51258214293255,62.75984226143181
1087,2020-08-16,2,2020-07-26,spatial_mob,30.6534646192303,35.10421353690749
1087,2020-08-23,3,2020-07-26,spatial_mob,33.095660404364736,47.15211648844596
1089,2020-08-02,0,2020-07-26,spatial_mob,1513.222536244873,3122.0714454792437
1089,2020-08-09,1,2020-07-26,spatial_mob,1310.0665763567747,2221.277726950036
1089,2020-08-16,2,2020-07-26,spatial_mob,1105.1638054552466,1225.0355134952201
1089,2020-08-23,3,2020-07-26,spatial_mob,1284.4987924322854,2236.8308094433146
1091,2020-08-02,0,2020-07-26,spatial_mob,72.2009479624632,119.7939789118312
1091,2020-08-09,1,2020-07-26,spatial_mob,62.24001238933614,92.29374935455802
1091,2020-08-16,2,2020-07-26,spatial_mob,52.77939771989399,72.16544315885669
1091,2020-08-23,3,2020-07-26,spatial_mob,55.88812227554465,79.80708143812029
1093,2020-08-02,0,2020-07-26,spatial_mob,142.16714815369315,242.2938835397004
1093,2020-08-09,1,2020-07-26,spatial_mob,138.98728244177812,245.94826204079374
1093,2020-08-16,2,2020-07-26,spatial_mob,98.00672874696771,101.70756986864026
1093,2020-08-23,3,2020-07-26,spatial_mob,96.85636577762087,119.16388611766443
1095,2020-08-02,0,2020-07-26,spatial_mob,339.3782239827963,233.57389389149785
1095,2020-08-09,1,2020-07-26,spatial_mob,475.06330201130254,734.1249827341733
1095,2020-08-16,2,2020-07-26,spatial_mob,393.60840329931284,477.8018300668968
1095,2020-08-23,3,2020-07-26,spatial_mob,362.9407724685727,370.31253525544054
1097,2020-08-02,0,2020-07-26,spatial_mob,3515.8227803455866,6539.474067132275
1097,2020-08-09,1,2020-07-26,spatial_mob,2992.873432220929,8619.60558376642
1097,2020-08-16,2,2020-07-26,spatial_mob,2833.1315236499245,5108.361719217951
1097,2020-08-23,3,2020-07-26,spatial_mob,2840.9583027155268,5466.264132229381
1099,2020-08-02,0,2020-07-26,spatial_mob,58.819439370534276,70.99799182402039
1099,2020-08-09,1,2020-07-26,spatial_mob,89.49087911327801,228.1049665422993
1099,2020-08-16,2,2020-07-26,spatial_mob,50.636482181427574,57.880592499620676
1099,2020-08-23,3,2020-07-26,spatial_mob,53.086667969767205,74.41087474513958
1101,2020-08-02,0,2020-07-26,spatial_mob,519.5380062808725,266.0785984497733
1101,2020-08-09,1,2020-07-26,spatial_mob,625.438153060783,401.33590565671807
1101,2020-08-16,2,2020-07-26,spatial_mob,720.4923168386168,729.7591021472313
1101,2020-08-23,3,2020-07-26,spatial_mob,938.6717954182196,1523.9172836782056
1103,2020-08-02,0,2020-07-26,spatial_mob,389.7549313635652,488.1210207291021
