fips,fct_date,horizon,avl_date,method,value,fct_std,fct_lb,fct_ub
DE,2020-11-22,0,2020-11-15,ar,119246.31577061846,20447.73545945261,83605.71266978026,165220.3705220715
DE,2020-11-29,1,2020-11-15,ar,189841.90304707485,22249.905860421757,148994.22322987785,238576.5445390886
DE,2020-12-06,2,2020-11-15,ar,179229.56689824053,16840.012435208853,148086.21792637568,215037.6044445602
DE,2020-12-13,3,2020-11-15,ar,141495.6960104686,12945.486209720215,117361.93590034475,169174.03022480596
GB,2020-11-22,0,2020-11-15,ar,172675.0562708519,20433.402733573083,135405.61884152849,217156.36505957312
GB,2020-11-29,1,2020-11-15,ar,173840.63512912634,21160.55451157875,135423.38060306024,219901.2607188745
GB,2020-12-06,2,2020-11-15,ar,148611.10316465038,23419.735448235697,107065.26458784609,201231.65052956983
GB,2020-12-13,3,2020-11-15,ar,145715.43819255882,22814.423616857344,105263.46572556213,196846.82974660254
PL,2020-11-22,0,2020-11-15,ar,153175.1396014621,25800.47639444712,107987.27561754221,211250.7809218482
PL,2020-11-29,1,2020-11-15,ar,156321.5883787251,25621.06200283724,111024.93143746142,214266.0688790622
PL,2020-12-06,2,2020-11-15,ar,155500.90324804545,32956.40400116007,99943.01944008845,231526.08498884586
PL,2020-12-13,3,2020-11-15,ar,144793.4385900383,20012.066792986046,109060.95162793537,188650.5727100904
