fips,fct_date,horizon,avl_date,method,value,fct_std,fct_lb,fct_ub
AT,2021-03-28,0,2021-03-21,spatial,22369.568483994,5374.9833375063645,14145.524730203648,35374.975739969865
AT,2021-04-04,1,2021-03-21,spatial,22400.9829324329,3409.6072680397424,16620.34401779445,30192.15702165353
AT,2021-04-11,2,2021-03-21,spatial,22115.909788248086,5169.0351919914665,14079.351700292093,34739.77184274616
AT,2021-04-18,3,2021-03-21,spatial,22387.635402632928,5492.753821154424,14013.414089695763,35766.174874527314
BE,2021-03-28,0,2021-03-21,spatial,35482.33975221101,3435.961069115849,29288.530464524654,42985.988519167135
BE,2021-04-04,1,2021-03-21,spatial,35559.66858378112,3545.0040058812037,29177.728822452547,43337.50709257781
BE,2021-04-11,2,2021-03-21,spatial,35588.440676101534,3406.536619477757,29424.18097333685,43044.09053574299
BE,2021-04-18,3,2021-03-21,spatial,37992.17249897007,4385.20754182733,30264.71575097621,47692.67232073506
BG,2021-03-28,0,2021-03-21,spatial,25120.403576057066,5057.763451517934,16933.686247930833,37265.050656119725
BG,2021-04-04,1,2021-03-21,spatial,26213.195820908106,3567.284575605273,20040.903038962755,34286.46073529616
BG,2021-04-11,2,2021-03-21,spatial,25102.193614494572,4936.803267630887,17100.764153919503,36847.48345676402
BG,2021-04-18,3,2021-03-21,spatial,25216.793370743417,5627.860175970941,16382.316524986003,38815.43046326364
CH,2021-03-28,0,2021-03-21,spatial,11599.55604464752,1781.8345736657132,8592.586205362317,15658.81298333106
CH,2021-04-04,1,2021-03-21,spatial,11519.507979072543,3027.5501821728412,6947.0539228962525,19101.487559001598
CH,2021-04-11,2,2021-03-21,spatial,11523.038203480713,2762.3943871198867,7253.5597433511275,18305.551224085157
CH,2021-04-18,3,2021-03-21,spatial,11716.959913261811,1524.9495888875185,9057.817763587123,15156.75775250032
CY,2021-03-28,0,2021-03-21,spatial,2410.1611686653337,671.5626005459803,1434.3393494146012,4049.8623016324823
CY,2021-04-04,1,2021-03-21,spatial,2479.350892373859,363.56885538480634,1860.532690683884,3303.98970052792
CY,2021-04-11,2,2021-03-21,spatial,2406.104520202555,622.7848599215184,1473.6862529459772,3928.4745654415747
CY,2021-04-18,3,2021-03-21,spatial,2413.2614856834507,466.2136434155574,1655.035683159728,3518.855247377186
CZ,2021-03-28,0,2021-03-21,spatial,51915.879148329295,7014.753008727535,39756.93060929269,67793.42535849461
CZ,2021-04-04,1,2021-03-21,spatial,51728.693234386796,10543.66923778912,34877.721742904214,76721.11508492357
CZ,2021-04-11,2,2021-03-21,spatial,51658.51095155807,9214.457190639996,36533.882852316696,73044.56973598202
CZ,2021-04-18,3,2021-03-21,spatial,51741.13629083247,10642.584708709002,34635.170985406985,77295.5671503535
DE,2021-03-28,0,2021-03-21,spatial,114772.35311927418,22906.29923847087,77843.03301847202,169221.22031665326
DE,2021-04-04,1,2021-03-21,spatial,113998.44844619044,23647.67684444966,76238.44739617716,170460.53129343214
