fips,fct_date,horizon,avl_date,method,value,fct_std,fct_lb,fct_ub
DE,2020-11-08,0,2020-11-01,ar,164959.68151356274,18730.189114615023,130818.98962885971,205375.60985803773
DE,2020-11-15,1,2020-11-01,ar,172791.91795942892,19609.0958581007,136950.7385952207,215245.46659849945
DE,2020-11-22,2,2020-11-01,ar,145721.41148004276,24569.12224039202,102890.8877504445,200692.9597846261
DE,2020-11-29,3,2020-11-01,ar,139790.81940508052,24015.104786578628,97456.38439362323,194664.6198239253
GB,2020-11-08,0,2020-11-01,ar,170662.22691754517,34151.12104107402,113304.97594081293,247357.3203031542
GB,2020-11-15,1,2020-11-01,ar,171989.38146219647,34296.817596397734,113462.80659983195,250689.05044064077
GB,2020-11-22,2,2020-11-01,ar,150332.42342743653,23351.128870261342,108901.8453164371,202601.18928167378
GB,2020-11-29,3,2020-11-01,ar,248664.55461416199,29463.69434867936,195261.2250945628,312320.1949578003
PL,2020-11-08,0,2020-11-01,ar,163382.9170108368,24447.49092415083,120269.11161943,217139.28009742923
PL,2020-11-15,1,2020-11-01,ar,151288.25511279,26517.706632761383,104981.03183759187,211471.29026192924
PL,2020-11-22,2,2020-11-01,ar,160677.240163661,27990.619107987364,111461.73008125412,224682.19152891188
PL,2020-11-29,3,2020-11-01,ar,166505.2432040761,22355.123773489933,126236.48652537,215719.29612530337
