fips,fct_date,horizon,avl_date,method,value,fct_std,fct_lb,fct_ub
DE,2020-11-29,0,2020-11-22,ar,124253.51452366039,21280.572944777894,87030.36685544082,172311.26064780925
DE,2020-12-06,1,2020-11-22,ar,130978.79122520312,25273.775638241746,87500.02458068269,188956.96473320987
DE,2020-12-13,2,2020-11-22,ar,174384.97340170437,20919.850880138485,136226.6313340142,220052.26178334508
DE,2020-12-20,3,2020-11-22,ar,185660.73160814674,17457.27534671527,153241.08675123277,222969.71060948586
GB,2020-11-29,0,2020-11-22,ar,138632.6437065804,1407.0114609063644,135839.8808026502,141468.250266199
GB,2020-12-06,1,2020-11-22,ar,138688.9886433927,1382.4984607829917,135947.5221145825,141471.7004278534
GB,2020-12-13,2,2020-11-22,ar,138695.32331753732,1357.772405347061,135999.86256973053,141430.6536854451
GB,2020-12-20,3,2020-11-22,ar,138656.63390650126,1404.0120533157751,135871.44024063298,141484.4241889453
PL,2020-11-29,0,2020-11-22,ar,126147.89678957337,21811.261368140236,88139.6550691206,175290.65410079484
PL,2020-12-06,1,2020-11-22,ar,127971.25966637065,21764.28210063012,90260.85390248844,176389.68738658738
PL,2020-12-13,2,2020-11-22,ar,130740.032881726,20833.832804578586,94081.44662722938,177185.39730126868
PL,2020-12-20,3,2020-11-22,ar,130929.62717902283,24465.256624012003,88926.72066566437,186283.9562007817
