,fips,fct_date,horizon,avl_date,value,fct_std
0,1001,2020-11-29,0,2020-11-22,143.85613604322725,2.448752645070128
1,1003,2020-11-29,0,2020-11-22,449.37713671714664,2.1586179092312734
2,1005,2020-11-29,0,2020-11-22,28.750971247990037,2.1018348395894555
3,1007,2020-11-29,0,2020-11-22,69.5101916542967,2.1034530526999307
4,1009,2020-11-29,0,2020-11-22,202.5737198973452,2.1373108511351018
5,1011,2020-11-29,0,2020-11-22,10.656644622920567,2.3888944202436524
6,1013,2020-11-29,0,2020-11-22,35.24829007977951,2.391670399389456
7,1015,2020-11-29,0,2020-11-22,372.9089374618943,2.1758039912007363
8,1017,2020-11-29,0,2020-11-22,92.61556784850495,2.117892606460944
9,1019,2020-11-29,0,2020-11-22,61.65177185336802,2.493111258738292
10,1021,2020-11-29,0,2020-11-22,75.25987044990507,2.1368595867654507
11,1023,2020-11-29,0,2020-11-22,6.022012023459411,2.2702084522725436
12,1025,2020-11-29,0,2020-11-22,47.46867813312451,2.378238041146344
13,1027,2020-11-29,0,2020-11-22,35.75367217464702,2.2741770615620354
14,1029,2020-11-29,0,2020-11-22,47.150756258141655,1.9669698591105624
15,1031,2020-11-29,0,2020-11-22,140.90475624112332,1.8350623240699286
16,1033,2020-11-29,0,2020-11-22,216.24340255693687,1.9386009194261988
17,1035,2020-11-29,0,2020-11-22,25.39785755567675,2.3929006102138617
18,1037,2020-11-29,0,2020-11-22,30.704735974021617,2.2434699393394304
19,1039,2020-11-29,0,2020-11-22,85.97249591241916,1.8655192717918412
20,1041,2020-11-29,0,2020-11-22,22.508208938341227,2.3580485243118376
21,1043,2020-11-29,0,2020-11-22,392.14929248524095,1.7135018125449804
22,1045,2020-11-29,0,2020-11-22,98.78913182324277,2.232118131333857
23,1047,2020-11-29,0,2020-11-22,91.91868513656163,2.028269304486486
24,1049,2020-11-29,0,2020-11-22,309.6026845303495,2.2303091718201955
25,1051,2020-11-29,0,2020-11-22,199.7585304848344,2.230925059854044
26,1053,2020-11-29,0,2020-11-22,54.47002693698914,2.2310264351573306
27,1055,2020-11-29,0,2020-11-22,442.8546021069078,1.9973386027674305
28,1057,2020-11-29,0,2020-11-22,80.22446065593397,2.1045091302764334
29,1059,2020-11-29,0,2020-11-22,91.39399004795769,2.366397081114286
30,1061,2020-11-29,0,2020-11-22,65.36087738027891,2.2976765004649726
31,1063,2020-11-29,0,2020-11-22,21.64494144987293,1.8671362777991154
32,1065,2020-11-29,0,2020-11-22,45.01883020693958,2.3356823460540586
33,1067,2020-11-29,0,2020-11-22,27.559884593057404,2.0906763016541317
34,1069,2020-11-29,0,2020-11-22,250.7189116321133,1.8928970579653512
35,1071,2020-11-29,0,2020-11-22,206.95932444678056,2.019651147624956
36,1073,2020-11-29,0,2020-11-22,2152.245487435699,2.5500101261198616
37,1075,2020-11-29,0,2020-11-22,39.38911391111969,2.1741923277782007
38,1077,2020-11-29,0,2020-11-22,368.7793089868319,2.2838005159748134
39,1079,2020-11-29,0,2020-11-22,90.32583003011655,2.0874786003500705
40,1081,2020-11-29,0,2020-11-22,266.28862268272223,2.1564215037541916
41,1083,2020-11-29,0,2020-11-22,292.77342449834214,2.142531884036098
42,1085,2020-11-29,0,2020-11-22,18.51548718193635,2.043104422922145
43,1087,2020-11-29,0,2020-11-22,40.293027658795154,2.1298500495236214
44,1089,2020-11-29,0,2020-11-22,923.9281568491078,2.1704170619643826
45,1091,2020-11-29,0,2020-11-22,39.6412803633807,2.239048448479064
46,1093,2020-11-29,0,2020-11-22,66.51675648792298,2.2278788183346014
47,1095,2020-11-29,0,2020-11-22,446.3652502491723,2.3488769969738788
48,1097,2020-11-29,0,2020-11-22,683.995861264124,2.2896215649361937
49,1099,2020-11-29,0,2020-11-22,31.705601024835914,1.95779412961643
50,1101,2020-11-29,0,2020-11-22,418.20557615914186,2.2390680598372508
51,1103,2020-11-29,0,2020-11-22,562.4611042835377,2.1939340209991056
52,1105,2020-11-29,0,2020-11-22,22.541730456510095,2.3000138350708625
53,1107,2020-11-29,0,2020-11-22,75.4447018696494,2.114648643341071
54,1109,2020-11-29,0,2020-11-22,49.52829941414643,2.479781610653507
55,1111,2020-11-29,0,2020-11-22,43.67291497050337,2.3157417028466813
56,1113,2020-11-29,0,2020-11-22,61.84617991664254,1.985366375220299
57,1115,2020-11-29,0,2020-11-22,240.18300196273412,2.0772194081237494
58,1117,2020-11-29,0,2020-11-22,643.8929018705603,2.289187261651861
59,1119,2020-11-29,0,2020-11-22,22.995487572170305,1.875558027163499
60,1121,2020-11-29,0,2020-11-22,180.07903408120728,2.049513851908194
61,1123,2020-11-29,0,2020-11-22,94.92930176912614,2.0634241310082735
62,1125,2020-11-29,0,2020-11-22,586.7608380950624,2.1693390710622245
63,1127,2020-11-29,0,2020-11-22,173.6463041021575,2.022221177957681
64,1129,2020-11-29,0,2020-11-22,34.02900178147627,2.2232374863433613
65,1131,2020-11-29,0,2020-11-22,15.026891819640468,2.427590381875084
66,1133,2020-11-29,0,2020-11-22,90.53840167379826,2.3066668948906957
67,2013,2020-11-29,0,2020-11-22,3.5010355720711246,2.017633213481429
68,2016,2020-11-29,0,2020-11-22,2.1250349470300876,1.8970231680175047
69,2020,2020-11-29,0,2020-11-22,1981.9044684686014,1.9309149588523646
70,2050,2020-11-29,0,2020-11-22,242.8829086979108,2.2472501675033625
71,2060,2020-11-29,0,2020-11-22,0.0,2.296849462569582
72,2068,2020-11-29,0,2020-11-22,3.2524763693295213,2.198107393182581
