fips,fct_date,horizon,avl_date,value,fct_std
01001,2020-07-26,0.0,2020-07-19,94.91319839477539,9.802748317029822
01001,2020-08-02,1.0,2020-07-19,92.26958984375,10.242509956289151
01001,2020-08-09,2.0,2020-07-19,89.62997352600098,13.438563430553133
01001,2020-08-16,3.0,2020-07-19,90.73990028381348,13.137200539951717
01003,2020-07-26,0.0,2020-07-19,659.1012243652344,76.25281989061064
01003,2020-08-02,1.0,2020-07-19,615.5311889648438,77.36676604063294
01003,2020-08-09,2.0,2020-07-19,580.7540502929687,83.69914797572206
01003,2020-08-16,3.0,2020-07-19,566.9475372314453,83.07888965033315
01005,2020-07-26,0.0,2020-07-19,50.28058753967285,6.705938740434569
01005,2020-08-02,1.0,2020-07-19,47.27859188079834,6.289052417505471
01005,2020-08-09,2.0,2020-07-19,47.46420593261719,5.943483182200651
01005,2020-08-16,3.0,2020-07-19,48.69584487915039,5.941945388166501
01007,2020-07-26,0.0,2020-07-19,42.169384994506835,5.537031458189525
01007,2020-08-02,1.0,2020-07-19,37.70788105010986,6.515705653895879
01007,2020-08-09,2.0,2020-07-19,35.29113952636719,5.452370495536959
01007,2020-08-16,3.0,2020-07-19,34.92203689575195,5.095264821964159
01009,2020-07-26,0.0,2020-07-19,111.4307029724121,16.12833053861917
01009,2020-08-02,1.0,2020-07-19,107.80207229614258,14.521516776296643
01009,2020-08-09,2.0,2020-07-19,100.53324447631836,15.999404648608921
01009,2020-08-16,3.0,2020-07-19,101.51055725097656,13.983655612690617
01011,2020-07-26,0.0,2020-07-19,21.52334831237793,3.14612924852344
01011,2020-08-02,1.0,2020-07-19,26.079563980102538,5.02395760244975
01011,2020-08-09,2.0,2020-07-19,34.70630973815918,6.828381508070521
01011,2020-08-16,3.0,2020-07-19,44.85175235748291,8.175528806934652
01013,2020-07-26,0.0,2020-07-19,47.79736282348633,3.1773100799120817
01013,2020-08-02,1.0,2020-07-19,56.913594818115236,4.997352423952229
01013,2020-08-09,2.0,2020-07-19,60.2397427368164,8.448535105374583
01013,2020-08-16,3.0,2020-07-19,59.61638748168945,9.35405308715612
01015,2020-07-26,0.0,2020-07-19,233.5840087890625,37.223962301853554
01015,2020-08-02,1.0,2020-07-19,224.1737939453125,31.767126845408818
01015,2020-08-09,2.0,2020-07-19,204.11846069335937,38.28252505240453
01015,2020-08-16,3.0,2020-07-19,209.35444458007814,35.881105191773095
01017,2020-07-26,0.0,2020-07-19,50.21525978088379,5.016482894014701
01017,2020-08-02,1.0,2020-07-19,56.16196014404297,6.5728035776562175
01017,2020-08-09,2.0,2020-07-19,60.2275993347168,6.884139218300891
01017,2020-08-16,3.0,2020-07-19,63.025494689941404,8.019270855115128
01019,2020-07-26,0.0,2020-07-19,29.666353149414064,3.717216112235106
01019,2020-08-02,1.0,2020-07-19,27.933904075622557,3.239025338791801
01019,2020-08-09,2.0,2020-07-19,26.959693450927734,3.9647357386672897
01019,2020-08-16,3.0,2020-07-19,26.262230148315428,3.285611146858042
01021,2020-07-26,0.0,2020-07-19,112.69714614868164,14.601753277185848
01021,2020-08-02,1.0,2020-07-19,105.85358184814453,13.644584281272913
01021,2020-08-09,2.0,2020-07-19,98.17246292114258,13.921657047263203
01021,2020-08-16,3.0,2020-07-19,96.52830436706543,16.0048449313858
01023,2020-07-26,0.0,2020-07-19,29.064631309509277,2.561527558427325
01023,2020-08-02,1.0,2020-07-19,32.664482269287106,4.03814019337665
01023,2020-08-09,2.0,2020-07-19,34.48148204803467,4.617263864040431
01023,2020-08-16,3.0,2020-07-19,35.402702445983884,5.271580756855398
01025,2020-07-26,0.0,2020-07-19,47.97771209716797,6.62716679744463
01025,2020-08-02,1.0,2020-07-19,46.062413711547855,5.820582468993511
01025,2020-08-09,2.0,2020-07-19,44.286087341308594,6.383496985326798
01025,2020-08-16,3.0,2020-07-19,42.94701389312744,5.243684724093475
01027,2020-07-26,0.0,2020-07-19,31.94282653808594,3.906477737489911
01027,2020-08-02,1.0,2020-07-19,29.270078582763674,4.651603099476191
01027,2020-08-09,2.0,2020-07-19,27.184243507385254,4.5759921083411665
01027,2020-08-16,3.0,2020-07-19,26.913029708862304,4.053559825998058
01029,2020-07-26,0.0,2020-07-19,18.827073173522948,1.8323218052817907
01029,2020-08-02,1.0,2020-07-19,19.196924896240233,2.357232098714448
01029,2020-08-09,2.0,2020-07-19,19.17794246673584,2.665012944300514
01029,2020-08-16,3.0,2020-07-19,20.049030017852782,2.4972761364685536
01031,2020-07-26,0.0,2020-07-19,79.54525077819824,9.872749527743279
01031,2020-08-02,1.0,2020-07-19,73.95233367919921,10.199677716706022
01031,2020-08-09,2.0,2020-07-19,70.27923545837402,10.678156268903539
01031,2020-08-16,3.0,2020-07-19,70.63874885559082,10.341055708984273
01033,2020-07-26,0.0,2020-07-19,140.8006393432617,19.810234964209396
01033,2020-08-02,1.0,2020-07-19,138.43451919555665,19.903196046728603
01033,2020-08-09,2.0,2020-07-19,138.88471130371093,19.227417762458952
01033,2020-08-16,3.0,2020-07-19,135.7391198730469,19.736132691658543
01035,2020-07-26,0.0,2020-07-19,39.304779815673825,4.44934440649712
01035,2020-08-02,1.0,2020-07-19,38.17106136322022,4.600318577253317
01035,2020-08-09,2.0,2020-07-19,36.33667129516601,5.294718911171802
01035,2020-08-16,3.0,2020-07-19,36.54174308776855,5.021365453499487
01037,2020-07-26,0.0,2020-07-19,9.625804500579834,1.3797886147322929
01037,2020-08-02,1.0,2020-07-19,8.224586725234985,0.9362720284904522
