FIPS,2020-01-19,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11
47001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,1.6094379124341003,0.6931471805599453,1.3862943611198906,2.0794415416798357,1.3862943611198906,1.0986122886681098,1.6094379124341003,1.0986122886681098,0.0,1.6094379124341003,2.70805020110221,2.6390573296152584,2.772588722239781,3.784189633918261,4.110873864173311,4.406719247264253,4.77912349311153,5.231108616854587,4.532599493153256,4.356708826689592,4.30406509320417,3.367295829986474,4.3694478524670215,4.356708826689592,4.634728988229636,4.127134385045092,4.465908118654584,4.653960350157523,5.043425116919247,4.941642422609304,5.308267697401205,5.262690188904886,5.521460917862246,5.82600010738045,5.3471075307174685,5.720311776607412,5.932245187448011,6.148468295917647,5.153291594497779,5.552959584921617,5.986452005284438,5.991464547107982,5.560681631015528,5.41610040220442,5.017279836814924,5.652489180268651,5.267858159063328,4.74493212836325,5.0106352940962555,4.532599493153256,4.927253685157205,4.3694478524670215,4.02535169073515,4.248495242049359,4.0943445622221
47003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9459101490553132,2.1972245773362196,3.4339872044851463,4.624972813284271,3.7612001156935624,3.6375861597263857,2.995732273553991,2.5649493574615367,2.9444389791664403,3.4339872044851463,4.174387269895637,3.8918202981106265,3.9889840465642745,4.343805421853684,4.1588830833596715,3.912023005428146,4.219507705176107,4.700480365792417,4.204692619390966,3.828641396489095,4.290459441148391,4.219507705176107,3.784189633918261,4.219507705176107,4.356708826689592,3.912023005428146,3.9512437185814275,4.23410650459726,4.564348191467836,4.77912349311153,4.948759890378168,5.0106352940962555,5.43372200355424,5.389071729816501,5.697093486505405,5.575949103146316,5.799092654460526,5.808142489980444,4.564348191467836,4.948759890378168,5.537334267018537,5.645446897643238,4.844187086458591,4.553876891600541,4.6443908991413725,4.060443010546419,3.7612001156935624,3.970291913552122,4.060443010546419,4.219507705176107,4.795790545596741,4.890349128221754,4.477336814478207,4.59511985013459,4.07753744390572
47005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.0,0.6931471805599453,2.3978952727983707,2.8903717578961645,3.8501476017100584,4.04305126783455,3.4657359027997265,3.5263605246161616,3.58351893845611,3.367295829986474,2.8903717578961645,3.5263605246161616,1.6094379124341003,1.9459101490553132,2.5649493574615367,3.1354942159291497,3.5263605246161616,3.332204510175204,3.8918202981106265,4.430816798843313,4.454347296253507,4.248495242049359,3.9889840465642745,4.382026634673881,4.454347296253507,2.9444389791664403,3.091042453358316,3.4657359027997265,4.1588830833596715,2.9444389791664403,3.4965075614664802,3.1354942159291497,3.6109179126442243,4.174387269895637,1.9459101490553132,2.0794415416798357,2.4849066497880004,2.70805020110221,3.044522437723423,2.70805020110221,3.4965075614664802,2.995732273553991
47007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,1.6094379124341003,1.3862943611198906,2.302585092994046,2.0794415416798357,1.0986122886681098,0.0,0.0,1.791759469228055,0.0,0.0,0.6931471805599453,1.0986122886681098,2.302585092994046,2.302585092994046,2.0794415416798357,2.6390573296152584,3.5263605246161616,3.9318256327243257,2.833213344056216,2.4849066497880004,3.1354942159291497,3.1780538303479458,3.091042453358316,2.302585092994046,2.70805020110221,3.1780538303479458,2.995732273553991,3.332204510175204,3.5263605246161616,3.044522437723423,3.4657359027997265,3.6109179126442243,3.6635616461296463,4.060443010546419,4.532599493153256,4.663439094112067,4.59511985013459,4.5217885770490405,4.007333185232471,4.007333185232471,3.871201010907891,3.7376696182833684,4.04305126783455,4.382026634673881,2.833213344056216,3.044522437723423,2.772588722239781,2.5649493574615367,3.044522437723423,2.995732273553991,1.6094379124341003,2.302585092994046,2.4849066497880004
47009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0794415416798357,3.2188758248682006,2.4849066497880004,0.0,1.791759469228055,2.302585092994046,2.302585092994046,0.6931471805599453,1.791759469228055,2.302585092994046,0.6931471805599453,2.3978952727983707,3.1354942159291497,3.367295829986474,4.127134385045092,4.804021044733257,5.1298987149230735,5.5093883366279774,5.808142489980444,5.236441962829949,5.236441962829949,5.521460917862246,5.6240175061873385,4.912654885736052,5.181783550292085,4.77912349311153,4.51085950651685,4.955827057601261,5.170483995038151,5.332718793265369,5.5909869805108565,5.655991810819852,5.598421958998375,5.924255797414532,6.584791392385716,6.269096283706261,6.415096959171596,6.71901315438526,6.495265555937008,6.0112671744041615,6.406879986069314,6.535241271013659,6.3784261836515865,6.285998094508865,5.707110264748875,5.703782474656201,6.272877006546167,5.472270673671475,5.123963979403259,5.147494476813453,4.976733742420574,5.099866427824199,4.976733742420574,4.30406509320417,4.804021044733257,4.820281565605037
47011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,2.70805020110221,2.302585092994046,1.9459101490553132,1.0986122886681098,2.3978952727983707,2.833213344056216,2.4849066497880004,2.302585092994046,3.4339872044851463,4.127134385045092,4.477336814478207,4.02535169073515,4.7535901911063645,5.438079308923196,5.652489180268651,5.384495062789089,5.3612921657094255,5.673323267171493,5.402677381872279,5.407171771460119,5.19295685089021,5.0369526024136295,4.6913478822291435,4.736198448394496,4.90527477843843,4.7535901911063645,4.477336814478207,5.176149732573829,4.955827057601261,5.37989735354046,5.272999558563747,5.209486152841421,5.908082938168931,6.0112671744041615,6.184148890937483,6.154858094016418,6.579251212010101,6.313548046277095,6.018593214496234,6.159095388491933,6.476972362889683,6.480044561926653,6.2166061010848646,5.926926025970411,5.908082938168931,5.978885764901122,5.723585101952381,5.472270673671475,5.402677381872279,5.5254529391317835,5.820082930352362,5.556828061699537,5.030437921392435,5.37989735354046,5.455321115357702
47013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,1.6094379124341003,1.0986122886681098,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,1.791759469228055,0.6931471805599453,1.6094379124341003,2.833213344056216,3.044522437723423,3.1354942159291497,3.6888794541139363,4.2626798770413155,3.784189633918261,2.995732273553991,3.332204510175204,3.295836866004329,3.5553480614894135,3.4657359027997265,3.258096538021482,3.4339872044851463,3.8501476017100584,5.081404364984463,5.135798437050262,4.820281565605037,4.867534450455582,4.477336814478207,4.61512051684126,4.624972813284271,4.795790545596741,5.135798437050262,5.308267697401205,5.517452896464707,5.278114659230517,5.135798437050262,4.976733742420574,5.1298987149230735,5.117993812416755,4.564348191467836,4.499809670330265,4.48863636973214,4.718498871295094,3.8918202981106265,3.5263605246161616,4.110873864173311,4.0943445622221,3.58351893845611,3.091042453358316,3.713572066704308,3.4011973816621555
47015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,1.0986122886681098,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,1.0986122886681098,1.6094379124341003,2.3978952727983707,0.6931471805599453,0.0,0.0,2.3978952727983707,2.5649493574615367,2.995732273553991,2.9444389791664403,3.295836866004329,3.332204510175204,2.995732273553991,2.833213344056216,2.8903717578961645,3.367295829986474,2.5649493574615367,3.367295829986474,2.833213344056216,3.258096538021482,3.58351893845611,3.295836866004329,3.4965075614664802,3.4011973816621555,3.8066624897703196,4.653960350157523,4.418840607796598,4.007333185232471,4.330733340286331,4.852030263919617,4.912654885736052,4.02535169073515,3.871201010907891,4.2626798770413155,4.477336814478207,3.871201010907891,3.5263605246161616,3.6375861597263857,3.4657359027997265,2.6390573296152584,2.4849066497880004,3.7376696182833684,2.833213344056216,3.1354942159291497,2.9444389791664403,2.3978952727983707,2.9444389791664403,2.5649493574615367
47017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.6931471805599453,1.3862943611198906,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.6094379124341003,0.6931471805599453,0.6931471805599453,0.0,0.0,1.9459101490553132,0.0,0.6931471805599453,2.302585092994046,1.3862943611198906,3.044522437723423,3.871201010907891,4.553876891600541,4.382026634673881,4.477336814478207,4.584967478670572,4.859812404361672,4.189654742026425,4.07753744390572,4.382026634673881,4.290459441148391,4.290459441148391,4.219507705176107,3.828641396489095,3.9889840465642745,4.07753744390572,4.532599493153256,4.836281906951478,5.204006687076795,4.836281906951478,5.0238805208462765,5.517452896464707,5.117993812416755,4.605170185988092,4.6913478822291435,5.170483995038151,4.962844630259907,4.700480365792417,4.663439094112067,3.9318256327243257,4.007333185232471,4.276666119016055,2.8903717578961645,2.995732273553991,2.4849066497880004,2.70805020110221,2.0794415416798357,2.5649493574615367,2.6390573296152584,2.772588722239781
47019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,1.6094379124341003,1.3862943611198906,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,2.0794415416798357,3.044522437723423,2.0794415416798357,3.828641396489095,4.07753744390572,4.718498871295094,4.890349128221754,4.653960350157523,4.564348191467836,4.634728988229636,4.6443908991413725,4.59511985013459,4.174387269895637,4.143134726391533,4.0943445622221,3.7376696182833684,4.465908118654584,4.51085950651685,4.948759890378168,5.375278407684165,5.181783550292085,5.631211781821365,5.605802066295998,5.521460917862246,5.53338948872752,5.659482215759621,5.8805329864007,5.272999558563747,5.351858133476067,5.720311776607412,5.204006687076795,4.762173934797756,4.770684624465665,4.68213122712422,4.584967478670572,4.3694478524670215,4.060443010546419,3.713572066704308,3.5553480614894135,3.912023005428146,4.394449154672439,4.219507705176107,4.605170185988092,4.709530201312334
