FIPS,2020-01-19,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26
36001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9459101490553132,4.394449154672439,4.672828834461906,4.584967478670572,5.030437921392435,5.308267697401205,5.5254529391317835,5.82600010738045,5.181783550292085,5.049856007249537,5.288267030694535,4.290459441148391,4.700480365792417,4.143134726391533,3.6109179126442243,3.6375861597263857,3.9889840465642745,4.143134726391533,4.672828834461906,4.812184355372417,2.5649493574615367
36003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,2.6390573296152584,2.302585092994046,1.3862943611198906,1.6094379124341003,0.0,0.0,2.1972245773362196,0.0,0.0,1.791759469228055,1.0986122886681098,1.3862943611198906,0.0,1.6094379124341003,1.0986122886681098,1.6094379124341003,1.0986122886681098,0.0
36005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423,3.7376696182833684,3.9512437185814275,4.23410650459726,4.174387269895637,3.9889840465642745,4.204692619390966,3.713572066704308,4.276666119016055,4.330733340286331,3.9512437185814275,3.5263605246161616,2.8903717578961645,3.58351893845611,3.9318256327243257,4.007333185232471,4.248495242049359,4.48863636973214,2.4849066497880004
36009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0794415416798357,2.302585092994046,2.70805020110221,2.3978952727983707,1.6094379124341003,2.302585092994046,1.6094379124341003,2.5649493574615367,2.1972245773362196,1.6094379124341003,2.1972245773362196,2.4849066497880004,2.302585092994046,1.3862943611198906,2.3978952727983707,1.9459101490553132,1.6094379124341003,0.0
36011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1.6094379124341003,3.044522437723423,2.0794415416798357,2.3978952727983707,1.3862943611198906,0.6931471805599453,2.302585092994046,2.5649493574615367,2.6390573296152584,2.302585092994046,1.0986122886681098,1.6094379124341003,1.0986122886681098,2.1972245773362196,1.791759469228055,1.0986122886681098,2.302585092994046,0.0
36013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,1.6094379124341003,2.4849066497880004,1.0986122886681098,2.3978952727983707,0.0,1.6094379124341003,2.0794415416798357,3.1780538303479458,2.3978952727983707,2.772588722239781,1.9459101490553132,2.1972245773362196,2.0794415416798357,2.0794415416798357,3.6635616461296463,3.1780538303479458,3.091042453358316,0.6931471805599453
36015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4849066497880004,3.1780538303479458,3.1780538303479458,2.4849066497880004,3.4339872044851463,3.044522437723423,1.9459101490553132,1.0986122886681098,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,1.9459101490553132,0.6931471805599453,1.6094379124341003,1.9459101490553132,0.0
36017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1.791759469228055,3.4339872044851463,3.091042453358316,2.772588722239781,2.6390573296152584,2.0794415416798357,2.302585092994046,1.791759469228055,1.0986122886681098,2.6390573296152584,0.0,1.6094379124341003,0.0,1.9459101490553132,1.0986122886681098,2.833213344056216,2.772588722239781,3.044522437723423,0.0
36019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,2.0794415416798357,2.9444389791664403,2.4849066497880004,1.6094379124341003,2.0794415416798357,1.791759469228055,2.6390573296152584,2.70805020110221,1.3862943611198906,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,1.9459101490553132,1.0986122886681098,2.0794415416798357,0.0
36021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9459101490553132,3.1354942159291497,3.295836866004329,3.4011973816621555,2.8903717578961645,3.5553480614894135,4.174387269895637,4.59511985013459,3.5263605246161616,3.044522437723423,3.1780538303479458,3.367295829986474,2.9444389791664403,2.995732273553991,2.302585092994046,2.5649493574615367,2.3978952727983707,1.791759469228055,2.1972245773362196,0.0
36023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9459101490553132,1.9459101490553132,1.0986122886681098,2.0794415416798357,1.0986122886681098,0.0,0.0,1.6094379124341003,1.3862943611198906,1.0986122886681098,0.0,0.0,0.6931471805599453,0.0,1.791759469228055,2.0794415416798357,2.302585092994046,2.772588722239781,0.0
36025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9459101490553132,2.8903717578961645,2.5649493574615367,2.302585092994046,2.5649493574615367,0.0,0.6931471805599453,1.6094379124341003,1.791759469228055,1.6094379124341003,1.791759469228055,1.0986122886681098,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.6094379124341003,0.0
