FIPS,2020-01-19,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26
54001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,1.3862943611198906,0.0,1.3862943611198906,1.791759469228055,1.0986122886681098,0.0
54003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,3.6888794541139363,3.6888794541139363,2.833213344056216,3.1354942159291497,3.295836866004329,3.332204510175204,3.1354942159291497,3.8918202981106265,3.9318256327243257,3.58351893845611,3.7612001156935624,3.7612001156935624,2.995732273553991,3.367295829986474,3.970291913552122,3.4965075614664802,3.784189633918261,0.0
54005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.6931471805599453,0.0,0.0,0.0,0.0,1.791759469228055,1.0986122886681098,0.0,1.0986122886681098,2.302585092994046,3.1780538303479458,2.4849066497880004,0.0
54007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0
54009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,1.6094379124341003,0.0,2.70805020110221,2.5649493574615367,2.0794415416798357,0.6931471805599453
54011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,2.772588722239781,2.0794415416798357,2.1972245773362196,1.791759469228055,1.3862943611198906,2.0794415416798357,0.0,1.9459101490553132,1.791759469228055,0.6931471805599453,2.1972245773362196,3.5553480614894135,3.6109179126442243,3.8066624897703196,3.5553480614894135,3.5263605246161616,2.6390573296152584
54013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0
54015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,1.0986122886681098,1.0986122886681098,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.0
54017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453
54019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,1.6094379124341003,1.6094379124341003,2.772588722239781,2.0794415416798357,1.3862943611198906,1.6094379124341003,1.9459101490553132,0.0,1.0986122886681098,1.9459101490553132,1.0986122886681098,2.4849066497880004,3.091042453358316,2.3978952727983707,0.6931471805599453
54021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0
54023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,0.0,1.791759469228055,0.0,1.3862943611198906,0.0,0.0,0.0,1.0986122886681098,1.0986122886681098,2.833213344056216,0.6931471805599453
54025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,0.0,0.0,0.0,0.0,1.3862943611198906,3.5553480614894135,2.302585092994046,1.6094379124341003,2.0794415416798357,1.6094379124341003,1.791759469228055,0.0
54027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,1.0986122886681098,0.0,0.0,0.0,1.3862943611198906,0.0,2.772588722239781,1.6094379124341003,1.6094379124341003,0.0,0.0,0.6931471805599453,0.0,1.3862943611198906,2.1972245773362196,0.0
54029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,1.3862943611198906,0.0,0.0,1.0986122886681098,1.0986122886681098,0.6931471805599453,0.0,0.0,0.0,1.3862943611198906,2.70805020110221,2.5649493574615367,3.4339872044851463,0.0
54031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,1.3862943611198906,2.0794415416798357,2.302585092994046,2.302585092994046,1.3862943611198906,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,1.0986122886681098,0.0,0.0
